territoire,densite_2022,deces_2024,Emploi - Chômage au sens du recensement,emploi_total_2022,Logement,revenu_median_2021,naissances_2024,nb_etab_2023,nb_menages_2022,nb_menages_fiscaux_2021,nb_logements_2022,part_admin,part_agri,part_industrie,part_construction,part_logements_vacants,part_menages_imposes,part_proprietaires,part_res_principales,part_res_secondaires,part_etab_1_9,part_etab_10_plus,part_commerce,population_2022,revenus,superficie_km2_2022,tx_activite_15_64,tx_chomage_15_64,tx_pauvrete_2021,tx_var_emploi_2016_2022,tx_var_population_2016_2022,part_emploi_salarie,tx_solde_migratoire,tx_solde_naturel,Établissements
Commune : Bresson (38057),241.4,4,,548,,34920.0,3,35,295,295.0,319,8.6,0.0,2.9,11.4,4.8,,82.4,92.6,2.6,65.7,31.4,77.1,671,,2.8,77.5,7.2,,-0.2,-0.3,89.5,0.0,-0.3,
Commune : Brié-et-Angonnes (38059),258.7,21,,465,,32620.0,14,63,1031,996.0,1107,11.1,0.0,6.3,17.5,5.2,76.0,86.7,93.1,1.6,82.5,11.1,65.1,2509,,9.7,79.8,4.9,,2.4,-0.3,70.8,-0.3,0.0,
Commune : Champ-sur-Drac (38071),374.9,27,,1060,,24940.0,39,74,1480,1434.0,1580,8.1,0.0,20.3,17.6,5.1,60.0,76.5,93.6,1.2,68.9,18.9,54.1,3344,,8.9,77.6,7.3,,0.3,1.7,89.7,1.5,0.2,
Commune : Champagnier (38068),227.8,3,,281,,31460.0,8,31,600,530.0,643,6.5,0.0,16.1,22.6,5.0,,85.3,93.3,1.7,77.4,19.4,54.8,1506,,6.6,81.4,5.6,,7.7,3.4,80.7,3.1,0.2,
Commune : Claix (38111),325.0,53,,1761,,29740.0,62,251,3449,3336.0,3654,8.0,1.2,15.5,23.9,3.9,71.0,75.7,94.4,1.7,75.3,15.5,51.4,7840,,24.1,77.0,7.2,5.0,-1.7,-0.4,79.9,-0.6,0.2,
Commune : Corenc (38126),642.6,47,,1127,,37560.0,32,96,1768,1636.0,1946,17.7,0.0,2.1,6.3,6.8,77.0,75.7,90.8,2.4,83.3,10.4,74.0,4177,,6.5,79.4,5.3,,-2.1,0.7,85.8,1.4,-0.7,
Commune : Domène (38150),1281.1,67,,2223,,24200.0,62,227,3145,3008.0,3368,10.1,0.0,13.7,21.6,5.3,58.0,59.0,93.4,1.3,70.0,22.0,54.6,6777,,5.3,79.6,7.3,9.0,-0.5,0.1,85.6,-0.1,0.2,
Commune : Eybens (38158),2243.3,99,,7070,,25120.0,146,462,4630,4571.0,4994,13.0,0.0,7.6,14.1,6.0,63.0,60.6,92.7,1.2,66.7,25.1,65.4,10095,,4.5,77.3,9.4,11.0,-0.6,-0.5,91.8,-0.9,0.5,
Commune : Fontaine (38169),3334.0,201,,6816,,20790.0,209,601,10783,10263.0,11820,12.6,0.0,10.1,18.3,8.0,48.0,55.2,91.2,0.8,67.2,22.1,58.9,22471,,6.7,76.9,12.6,19.0,0.9,0.0,86.3,-0.4,0.4,
Commune : Fontanil-Cornillon (38170),620.0,51,,1780,,27990.0,44,136,1490,1399.0,1619,8.8,1.5,11.0,5.9,6.7,70.0,65.8,92.0,1.3,61.0,32.4,72.8,3410,,5.5,79.9,6.1,,-1.1,3.8,91.0,3.9,-0.1,
Commune : Gières (38179),1061.0,46,,3305,,26010.0,59,241,3707,3139.0,4074,14.5,0.4,7.9,9.1,6.3,62.0,45.0,91.0,2.7,68.9,24.1,68.0,7353,,6.9,72.8,9.6,10.0,2.9,1.8,89.8,1.1,0.7,
