Code_commune_residence,Commune_residence,Code_lieu_travail,Lieu_travail,Actifs_occupes_flux_domicile_travail
35001,Acigné,17300,La Rochelle,5.0
35001,Acigné,22278,Saint-Brieuc,5.0
35001,Acigné,22305,Saint-Jouan-de-l'Isle,5.0
35001,Acigné,29019,Brest,5.0
35001,Acigné,29247,Saint-Évarzec,5.0
35001,Acigné,35001,Acigné,555.48
35001,Acigné,35023,Bédée,5.0
35001,Acigné,35024,Betton,25.02
35001,Acigné,35032,Bourgbarré,5.0
35001,Acigné,35039,Brécé,30.03
35001,Acigné,35047,Bruz,35.03
35001,Acigné,35051,Cesson-Sévigné,585.51
35001,Acigné,35055,Chantepie,60.05
35001,Acigné,35059,La Chapelle-des-Fougeretz,10.01
35001,Acigné,35066,Chartres-de-Bretagne,15.01
35001,Acigné,35068,Châteaubourg,75.07
35001,Acigné,35069,Châteaugiron,30.03
35001,Acigné,35070,Châteauneuf-d'Ille-et-Vilaine,15.01
35001,Acigné,35095,Dol-de-Bretagne,10.01
35001,Acigné,35105,Erbrée,5.0
35001,Acigné,35109,Étrelles,15.01
35001,Acigné,35115,Fougères,10.01
35001,Acigné,35121,Gosné,5.0
35001,Acigné,35125,La Guerche-de-Bretagne,5.0
35001,Acigné,35126,Guichen,5.0
35001,Acigné,35131,L'Hermitage,5.0
35001,Acigné,35137,Javené,5.0
35001,Acigné,35152,Liffré,75.07
35001,Acigné,35173,Melesse,20.02
35001,Acigné,35177,La Mézière,20.02
35001,Acigné,35188,Montfort-sur-Meu,5.0
35001,Acigné,35189,Montgermont,10.01
35001,Acigné,35194,Montreuil-sous-Pérouse,5.0
35001,Acigné,35204,Nouvoitou,5.0
35001,Acigné,35206,Noyal-Châtillon-sur-Seiche,15.01
35001,Acigné,35207,Noyal-sur-Vilaine,160.14
35001,Acigné,35210,Pacé,30.03
35001,Acigné,35238,Rennes,950.84
35001,Acigné,35240,Le Rheu,10.01
35001,Acigné,35251,Saint-Aubin-d'Aubigné,10.01
35001,Acigné,35253,Saint-Aubin-du-Cormier,15.01
35001,Acigné,35257,Maen Roch,5.0
35001,Acigné,35263,Saint-Coulomb,5.0
35001,Acigné,35278,Saint-Grégoire,65.06
35001,Acigné,35281,Saint-Jacques-de-la-Lande,75.07
35001,Acigné,35297,Saint-Méen-le-Grand,5.0
35001,Acigné,35324,La Selle-en-Luitré,5.0
35001,Acigné,35327,Servon-sur-Vilaine,50.04
35001,Acigné,35334,Thorigné-Fouillard,45.04
35001,Acigné,35352,Vern-sur-Seiche,25.02
35001,Acigné,35360,Vitré,45.04
35001,Acigné,35363,Pont-Péan,10.01
35001,Acigné,44020,Bouguenais,5.0
35001,Acigné,44026,Carquefou,5.0
35001,Acigné,45284,Saint-Jean-de-Braye,5.0
35001,Acigné,53054,Changé,10.01
35001,Acigné,53062,Château-Gontier-sur-Mayenne,5.0
35001,Acigné,53130,Laval,25.02
35001,Acigné,53147,Mayenne,5.0
35001,Acigné,56260,Vannes,5.0
35001,Acigné,75101,Paris 1er Arrondissement,5.0
35001,Acigné,75104,Paris 4e Arrondissement,5.0
35001,Acigné,75105,Paris 5e Arrondissement,5.0
35001,Acigné,75111,Paris 11e Arrondissement,5.0
35001,Acigné,78172,Conflans-Sainte-Honorine,5.0
35001,Acigné,85191,La Roche-sur-Yon,5.0
35001,Acigné,93055,Pantin,5.0
35022,Bécherel,22050,Dinan,4.99
35022,Bécherel,22208,Plouasne,4.99
35022,Bécherel,22259,Quévert,4.67
35022,Bécherel,22339,Taden,5.16
35022,Bécherel,29239,Roscoff,4.83
35022,Bécherel,35022,Bécherel,67.55
35022,Bécherel,35047,Bruz,4.99
35022,Bécherel,35051,Cesson-Sévigné,4.67
35022,Bécherel,35066,Chartres-de-Bretagne,4.83
35022,Bécherel,35120,Gévezé,5.16
35022,Bécherel,35156,Longaulnay,4.67
35022,Bécherel,35173,Melesse,4.83
35022,Bécherel,35177,La Mézière,9.99
35022,Bécherel,35180,Miniac-sous-Bécherel,4.99
35022,Bécherel,35184,Montauban-de-Bretagne,4.83
35022,Bécherel,35210,Pacé,9.5
35022,Bécherel,35227,Pleumeleuc,4.52
35022,Bécherel,35238,Rennes,34.66
35022,Bécherel,35245,Romillé,9.84
35022,Bécherel,35275,Saint-Gilles,4.99
35022,Bécherel,35278,Saint-Grégoire,9.99
35022,Bécherel,35296,Saint-Médard-sur-Ille,5.16
35022,Bécherel,35337,Tinténiac,14.5
35024,Betton,06046,Colomars,3.61
35024,Betton,11069,Carcassonne,3.37
35024,Betton,13043,Gignac-la-Nerthe,1.33
35024,Betton,14118,Caen,8.07
35024,Betton,22081,Hillion,1.23
35024,Betton,22093,Lamballe-Armor,3.61
35024,Betton,22136,Loudéac,1.5
35024,Betton,22197,Pleudihen-sur-Rance,4.7
35024,Betton,22209,Beaussais-sur-Mer,5.61
35024,Betton,22266,Rostrenen,4.03
35024,Betton,22278,Saint-Brieuc,3.37
35024,Betton,22372,Trémuson,2.65
35024,Betton,29019,Brest,3.61
35024,Betton,29181,Plouédern,2.89
35024,Betton,35001,Acigné,19.79
35024,Betton,35004,Val-Couesnon,4.21
35024,Betton,35012,Bain-de-Bretagne,4.03
35024,Betton,35017,La Baussaine,4.03
35024,Betton,35019,Bazouges-la-Pérouse,6.2
35024,Betton,35022,Bécherel,4.95
35024,Betton,35023,Bédée,4.03
35024,Betton,35024,Betton,934.77
35024,Betton,35027,Boisgervilly,1.61
35024,Betton,35029,Bonnemain,1.61
35024,Betton,35031,La Bouëxière,4.21
35024,Betton,35032,Bourgbarré,8.12
35024,Betton,35037,Bréal-sous-Montfort,5.17
35024,Betton,35039,Brécé,11.58
35024,Betton,35047,Bruz,47.14
35024,Betton,35051,Cesson-Sévigné,645.63
35024,Betton,35055,Chantepie,29.12
35024,Betton,35058,La Chapelle-Chaussée,0.95
35024,Betton,35059,La Chapelle-des-Fougeretz,21.83
35024,Betton,35066,Chartres-de-Bretagne,68.53
35024,Betton,35067,Chasné-sur-Illet,5.26
35024,Betton,35068,Châteaubourg,14.19
35024,Betton,35069,Châteaugiron,2.58
35024,Betton,35079,Chevaigné,19.82
35024,Betton,35085,Combourg,30.9
35024,Betton,35090,Crevin,3.61
35024,Betton,35093,Dinard,8.73
35024,Betton,35095,Dol-de-Bretagne,5.31
35024,Betton,35096,Domagné,2.89
35024,Betton,35099,Domloup,5.21
35024,Betton,35107,Ercé-près-Liffré,5.17
35024,Betton,35115,Fougères,84.07
35024,Betton,35120,Gévezé,2.12
35024,Betton,35123,Goven,2.89
35024,Betton,35126,Guichen,7.23
35024,Betton,35128,Guipel,4.35
35024,Betton,35131,L'Hermitage,20.37
35024,Betton,35139,Laillé,4.2
35024,Betton,35150,Lécousse,1.5
35024,Betton,35152,Liffré,55.73
35024,Betton,35161,Louvigné-de-Bais,6.46
35024,Betton,35162,Louvigné-du-Désert,3.02
35024,Betton,35166,Marpiré,4.7
35024,Betton,35173,Melesse,42.3
35024,Betton,35177,La Mézière,49.72
35024,Betton,35178,Mézières-sur-Couesnon,5.8
35024,Betton,35184,Montauban-de-Bretagne,10.96
35024,Betton,35188,Montfort-sur-Meu,15.42
35024,Betton,35189,Montgermont,30.04
35024,Betton,35193,Montreuil-le-Gast,3.61
35024,Betton,35195,Montreuil-sur-Ille,3.61
35024,Betton,35196,Mordelles,2.89
35024,Betton,35197,Mouazé,4.64
35024,Betton,35206,Noyal-Châtillon-sur-Seiche,15.89
35024,Betton,35207,Noyal-sur-Vilaine,39.41
35024,Betton,35210,Pacé,83.16
35024,Betton,35227,Pleumeleuc,5.89
35024,Betton,35228,Pleurtuit,5.61
35024,Betton,35230,Poilley,4.7
35024,Betton,35233,Québriac,5.97
35024,Betton,35238,Rennes,2226.58
35024,Betton,35240,Le Rheu,36.94
35024,Betton,35241,La Richardais,1.23
35024,Betton,35250,Saint-Armel,1.33
35024,Betton,35251,Saint-Aubin-d'Aubigné,35.05
35024,Betton,35253,Saint-Aubin-du-Cormier,10.23
35024,Betton,35257,Maen Roch,4.7
35024,Betton,35264,Saint-Didier,7.15
35024,Betton,35266,Saint-Erblon,5.99
35024,Betton,35274,Saint-Germain-sur-Ille,3.61
35024,Betton,35275,Saint-Gilles,19.7
35024,Betton,35278,Saint-Grégoire,424.78
35024,Betton,35281,Saint-Jacques-de-la-Lande,90.54
35024,Betton,35284,Saint-Jouan-des-Guérets,7.79
35024,Betton,35288,Saint-Malo,47.04
35024,Betton,35304,Saint-Ouen-des-Alleux,4.35
35024,Betton,35315,Saint-Sulpice-la-Forêt,1.09
35024,Betton,35317,Saint-Symphorien,10.0
35024,Betton,35326,Sens-de-Bretagne,4.21
35024,Betton,35327,Servon-sur-Vilaine,5.17
35024,Betton,35330,Taillis,4.03
35024,Betton,35334,Thorigné-Fouillard,52.68
35024,Betton,35337,Tinténiac,34.6
35024,Betton,35338,Torcé,13.48
35024,Betton,35352,Vern-sur-Seiche,40.83
35024,Betton,35353,Vezin-le-Coquet,35.94
35024,Betton,35360,Vitré,35.05
35024,Betton,35363,Pont-Péan,2.89
35024,Betton,37208,Saint-Avertin,1.23
35024,Betton,44035,La Chapelle-sur-Erdre,4.03
35024,Betton,44109,Nantes,5.61
35024,Betton,44114,Orvault,2.2
35024,Betton,44162,Saint-Herblain,6.26
35024,Betton,44186,Sainte-Pazanne,3.61
35024,Betton,45006,Ardon,1.13
35024,Betton,45034,Boigny-sur-Bionne,4.21
35024,Betton,45234,Orléans,3.02
35024,Betton,50259,Juilley,6.79
35024,Betton,50353,Le Mont-Saint-Michel,1.61
35024,Betton,53130,Laval,4.88
35024,Betton,53201,Saint-Berthevin,5.61
35024,Betton,56007,Auray,5.61
35024,Betton,56035,Caro,2.89
35024,Betton,56075,Guer,10.77
35024,Betton,56083,Hennebont,9.4
35024,Betton,59350,Lille,1.09
