Code_commune_residence,Commune_residence,Code_lieu_etudes,Lieu_etudes,Eleves_etudiants_flux_domicile_etudes
35001,Acigné,29232,Quimper,5.0
35001,Acigné,29233,Quimperlé,5.0
35001,Acigné,33063,Bordeaux,5.0
35001,Acigné,35001,Acigné,720.61
35001,Acigné,35039,Brécé,5.0
35001,Acigné,35047,Bruz,15.01
35001,Acigné,35051,Cesson-Sévigné,195.17
35001,Acigné,35055,Chantepie,15.01
35001,Acigné,35093,Dinard,10.01
35001,Acigné,35115,Fougères,5.0
35001,Acigné,35152,Liffré,110.1
35001,Acigné,35207,Noyal-sur-Vilaine,250.22
35001,Acigné,35236,Redon,5.0
35001,Acigné,35238,Rennes,345.3
35001,Acigné,35278,Saint-Grégoire,15.01
35001,Acigné,35288,Saint-Malo,5.0
35001,Acigné,35297,Saint-Méen-le-Grand,5.0
35001,Acigné,35360,Vitré,5.0
35001,Acigné,37261,Tours,5.0
35001,Acigné,44109,Nantes,5.0
35001,Acigné,44190,Saint-Sébastien-sur-Loire,5.0
35001,Acigné,69384,Lyon 4e Arrondissement,5.0
35001,Acigné,72181,Le Mans,5.0
35001,Acigné,75112,Paris 12e Arrondissement,5.0
35001,Acigné,75113,Paris 13e Arrondissement,5.0
35001,Acigné,77067,Cesson,5.0
35001,Acigné,91272,Gif-sur-Yvette,5.0
35022,Bécherel,22278,Saint-Brieuc,4.23
35022,Bécherel,25056,Besançon,4.99
35022,Bécherel,35022,Bécherel,33.35
35022,Bécherel,35050,Cardroc,18.25
35022,Bécherel,35051,Cesson-Sévigné,4.83
35022,Bécherel,35180,Miniac-sous-Bécherel,4.67
35022,Bécherel,35184,Montauban-de-Bretagne,4.67
35022,Bécherel,35238,Rennes,27.92
35022,Bécherel,35245,Romillé,17.81
35022,Bécherel,35337,Tinténiac,18.24
35024,Betton,03112,Étroussat,1.0
35024,Betton,14118,Caen,5.37
35024,Betton,21231,Dijon,3.61
35024,Betton,22147,Merdrignac,1.09
35024,Betton,22278,Saint-Brieuc,7.28
35024,Betton,29019,Brest,1.61
35024,Betton,29259,Saint-Pol-de-Léon,1.33
35024,Betton,31555,Toulouse,4.2
35024,Betton,34344,La Grande-Motte,1.0
35024,Betton,35001,Acigné,1.0
35024,Betton,35012,Bain-de-Bretagne,1.0
35024,Betton,35024,Betton,1671.76
35024,Betton,35047,Bruz,32.04
35024,Betton,35051,Cesson-Sévigné,54.1
35024,Betton,35055,Chantepie,15.45
35024,Betton,35066,Chartres-de-Bretagne,1.33
35024,Betton,35079,Chevaigné,14.06
35024,Betton,35093,Dinard,6.35
35024,Betton,35115,Fougères,14.44
35024,Betton,35126,Guichen,1.33
35024,Betton,35152,Liffré,7.15
35024,Betton,35173,Melesse,4.03
35024,Betton,35177,La Mézière,5.8
35024,Betton,35210,Pacé,1.61
35024,Betton,35236,Redon,5.61
35024,Betton,35238,Rennes,889.52
35024,Betton,35240,Le Rheu,1.61
35024,Betton,35251,Saint-Aubin-d'Aubigné,11.58
35024,Betton,35253,Saint-Aubin-du-Cormier,4.03
35024,Betton,35278,Saint-Grégoire,272.79
35024,Betton,35288,Saint-Malo,7.96
35024,Betton,35315,Saint-Sulpice-la-Forêt,5.37
35024,Betton,35337,Tinténiac,7.1
35024,Betton,38185,Grenoble,8.07
35024,Betton,44109,Nantes,5.37
35024,Betton,45234,Orléans,3.77
35024,Betton,49007,Angers,6.78
35024,Betton,49331,Segré-en-Anjou Bleu,5.8
35024,Betton,51333,Ludes,1.13
35024,Betton,69389,Lyon 9e Arrondissement,1.09
35024,Betton,72181,Le Mans,1.09
35024,Betton,75110,Paris 10e Arrondissement,4.35
35024,Betton,75118,Paris 18e Arrondissement,4.21
35024,Betton,76575,Saint-Étienne-du-Rouvray,4.35
35024,Betton,78551,Saint-Germain-en-Laye,7.22
35024,Betton,97411,Saint-Denis,1.33
35024,Betton,97609,Kani-Kéli,3.37
35032,Bourgbarré,35032,Bourgbarré,587.53
35032,Bourgbarré,35047,Bruz,43.92
35032,Bourgbarré,35051,Cesson-Sévigné,9.42
35032,Bourgbarré,35054,Chanteloup,4.88
35032,Bourgbarré,35055,Chantepie,4.76
35032,Bourgbarré,35066,Chartres-de-Bretagne,9.65
35032,Bourgbarré,35069,Châteaugiron,4.65
35032,Bourgbarré,35136,Janzé,4.88
35032,Bourgbarré,35206,Noyal-Châtillon-sur-Seiche,4.76
35032,Bourgbarré,35208,Orgères,233.17
35032,Bourgbarré,35238,Rennes,276.91
35032,Bourgbarré,35240,Le Rheu,9.52
35032,Bourgbarré,35253,Saint-Aubin-du-Cormier,4.88
35032,Bourgbarré,35266,Saint-Erblon,99.41
35032,Bourgbarré,35288,Saint-Malo,4.88
35032,Bourgbarré,35352,Vern-sur-Seiche,19.88
35032,Bourgbarré,61317,Orgères,4.76
35039,Brécé,22003,Aucaleuc,4.91
35039,Brécé,31555,Toulouse,5.33
35039,Brécé,35039,Brécé,145.1
35039,Brécé,35047,Bruz,4.91
35039,Brécé,35051,Cesson-Sévigné,121.46
35039,Brécé,35068,Châteaubourg,70.45
35039,Brécé,35136,Janzé,4.91
35039,Brécé,35184,Montauban-de-Bretagne,5.56
35039,Brécé,35207,Noyal-sur-Vilaine,102.21
35039,Brécé,35238,Rennes,123.38
35039,Brécé,35278,Saint-Grégoire,24.19
35039,Brécé,35327,Servon-sur-Vilaine,10.03
35039,Brécé,35360,Vitré,14.74
35047,Bruz,18033,Bourges,3.66
35047,Bruz,22032,Caulnes,1.25
35047,Bruz,22113,Lannion,1.08
35047,Bruz,22147,Merdrignac,5.72
35047,Bruz,22215,Ploufragan,6.52
35047,Bruz,22258,Quessoy,7.44
35047,Bruz,22278,Saint-Brieuc,6.75
35047,Bruz,29019,Brest,5.56
35047,Bruz,29024,Carhaix-Plouguer,3.61
35047,Bruz,31555,Toulouse,1.39
35047,Bruz,33063,Bordeaux,4.86
35047,Bruz,34172,Montpellier,1.09
35047,Bruz,34301,Sète,10.21
35047,Bruz,35012,Bain-de-Bretagne,11.4
35047,Bruz,35016,Baulon,5.59
35047,Bruz,35024,Betton,20.41
35047,Bruz,35029,Bonnemain,3.16
35047,Bruz,35047,Bruz,4438.09
35047,Bruz,35051,Cesson-Sévigné,20.04
35047,Bruz,35055,Chantepie,18.26
35047,Bruz,35066,Chartres-de-Bretagne,44.12
35047,Bruz,35115,Fougères,9.66
35047,Bruz,35123,Goven,17.27
35047,Bruz,35126,Guichen,36.43
35047,Bruz,35136,Janzé,1.09
35047,Bruz,35139,Laillé,8.84
35047,Bruz,35176,Guipry-Messac,3.66
35047,Bruz,35196,Mordelles,1.89
35047,Bruz,35206,Noyal-Châtillon-sur-Seiche,1.11
35047,Bruz,35236,Redon,14.73
35047,Bruz,35238,Rennes,801.05
35047,Bruz,35251,Saint-Aubin-d'Aubigné,4.86
35047,Bruz,35253,Saint-Aubin-du-Cormier,4.14
35047,Bruz,35266,Saint-Erblon,1.11
35047,Bruz,35278,Saint-Grégoire,7.96
35047,Bruz,35281,Saint-Jacques-de-la-Lande,23.43
35047,Bruz,35288,Saint-Malo,28.16
35047,Bruz,35352,Vern-sur-Seiche,5.21
35047,Bruz,35363,Pont-Péan,2.7
35047,Bruz,44020,Bouguenais,4.14
35047,Bruz,44109,Nantes,6.24
35047,Bruz,44184,Saint-Nazaire,4.86
35047,Bruz,49007,Angers,2.46
35047,Bruz,49301,Sèvremoine,2.97
35047,Bruz,49328,Saumur,1.22
35047,Bruz,53130,Laval,8.36
35047,Bruz,56121,Lorient,11.16
35047,Bruz,56260,Vannes,13.01
35047,Bruz,59350,Lille,4.24
35047,Bruz,60057,Beauvais,1.39
35047,Bruz,67482,Strasbourg,1.09
35047,Bruz,75101,Paris 1er Arrondissement,5.59
35047,Bruz,75107,Paris 7e Arrondissement,5.0
35047,Bruz,75108,Paris 8e Arrondissement,3.66
35047,Bruz,75115,Paris 15e Arrondissement,1.4
35047,Bruz,75116,Paris 16e Arrondissement,1.08
35047,Bruz,78297,Guyancourt,1.08
35047,Bruz,85191,La Roche-sur-Yon,4.93
35047,Bruz,86194,Poitiers,6.59
35047,Bruz,93079,Villetaneuse,3.61
35047,Bruz,94043,Le Kremlin-Bicêtre,4.93
35051,Cesson-Sévigné,14118,Caen,8.07
35051,Cesson-Sévigné,14654,Saint-Pierre-en-Auge,3.75
35051,Cesson-Sévigné,29019,Brest,5.73
35051,Cesson-Sévigné,29046,Douarnenez,4.57
35051,Cesson-Sévigné,29212,Plouzané,4.2
35051,Cesson-Sévigné,31248,Labarthe-sur-Lèze,1.0
35051,Cesson-Sévigné,33063,Bordeaux,2.66
35051,Cesson-Sévigné,33318,Pessac,1.88
35051,Cesson-Sévigné,34172,Montpellier,3.75
35051,Cesson-Sévigné,35012,Bain-de-Bretagne,4.57
35051,Cesson-Sévigné,35016,Baulon,1.51
35051,Cesson-Sévigné,35024,Betton,12.23
35051,Cesson-Sévigné,35047,Bruz,72.82
35051,Cesson-Sévigné,35051,Cesson-Sévigné,2659.71
35051,Cesson-Sévigné,35055,Chantepie,18.1
35051,Cesson-Sévigné,35066,Chartres-de-Bretagne,5.04
35051,Cesson-Sévigné,35162,Louvigné-du-Désert,1.88
35051,Cesson-Sévigné,35177,La Mézière,3.54
35051,Cesson-Sévigné,35207,Noyal-sur-Vilaine,3.36
35051,Cesson-Sévigné,35236,Redon,11.67
35051,Cesson-Sévigné,35238,Rennes,1721.93
35051,Cesson-Sévigné,35251,Saint-Aubin-d'Aubigné,4.08
35051,Cesson-Sévigné,35253,Saint-Aubin-du-Cormier,10.31
35051,Cesson-Sévigné,35278,Saint-Grégoire,16.42
35051,Cesson-Sévigné,35281,Saint-Jacques-de-la-Lande,7.88
35051,Cesson-Sévigné,35288,Saint-Malo,10.01
35051,Cesson-Sévigné,35334,Thorigné-Fouillard,1.16
35051,Cesson-Sévigné,35352,Vern-sur-Seiche,3.36
35051,Cesson-Sévigné,35360,Vitré,4.08
35051,Cesson-Sévigné,38185,Grenoble,4.96
35051,Cesson-Sévigné,38421,Saint-Martin-d'Hères,3.33
35051,Cesson-Sévigné,44026,Carquefou,1.21
35051,Cesson-Sévigné,44109,Nantes,10.09
35051,Cesson-Sévigné,49007,Angers,5.73
35051,Cesson-Sévigné,49099,Cholet,4.08
35051,Cesson-Sévigné,51454,Reims,8.27
35051,Cesson-Sévigné,53130,Laval,8.35
35051,Cesson-Sévigné,56161,Ploemel,3.33
35051,Cesson-Sévigné,56260,Vannes,5.86
35051,Cesson-Sévigné,57463,Metz,1.66
35051,Cesson-Sévigné,63113,Clermont-Ferrand,1.66
35051,Cesson-Sévigné,69382,Lyon 2e Arrondissement,5.67
35051,Cesson-Sévigné,69387,Lyon 7e Arrondissement,1.66
35051,Cesson-Sévigné,75105,Paris 5e Arrondissement,1.02
35051,Cesson-Sévigné,75111,Paris 11e Arrondissement,1.66
35051,Cesson-Sévigné,75115,Paris 15e Arrondissement,6.87
35051,Cesson-Sévigné,75116,Paris 16e Arrondissement,1.2
35051,Cesson-Sévigné,75119,Paris 19e Arrondissement,6.37
35051,Cesson-Sévigné,75120,Paris 20e Arrondissement,1.2
35051,Cesson-Sévigné,77067,Cesson,12.63
35051,Cesson-Sévigné,78646,Versailles,5.86
35051,Cesson-Sévigné,86194,Poitiers,1.88
35051,Cesson-Sévigné,87085,Limoges,4.2
35055,Chantepie,22113,Lannion,2.71
35055,Chantepie,22266,Rostrenen,3.38
35055,Chantepie,29019,Brest,6.29
35055,Chantepie,29026,Châteaulin,2.71
35055,Chantepie,30189,Nîmes,10.0
35055,Chantepie,33213,La Brède,6.09
35055,Chantepie,33318,Pessac,3.38
35055,Chantepie,34022,Baillargues,3.04
35055,Chantepie,34172,Montpellier,3.04
35055,Chantepie,34247,Saint-Clément-de-Rivière,15.22
35055,Chantepie,35047,Bruz,25.36
35055,Chantepie,35051,Cesson-Sévigné,107.65
35055,Chantepie,35055,Chantepie,950.21
35055,Chantepie,35066,Chartres-de-Bretagne,5.71
35055,Chantepie,35093,Dinard,4.86
35055,Chantepie,35115,Fougères,3.78
35055,Chantepie,35126,Guichen,3.78
35055,Chantepie,35152,Liffré,3.38
