code_origine,commune_origine,dep_origine,code_destination,commune_destination,dep_destination,flux,annee
07231,Saint-Étienne-de-Fontbellon,07,34022,Baillargues,34,10.08,2019
13103,Salon-de-Provence,13,34022,Baillargues,34,20.16,2019
13205,Marseille 5e Arrondissement,13,34022,Baillargues,34,5.04,2019
13211,Marseille 11e Arrondissement,13,34022,Baillargues,34,10.08,2019
30007,Alès,30,34022,Baillargues,34,5.04,2019
30189,Nîmes,30,34022,Baillargues,34,5.04,2019
30321,Sommières,30,34022,Baillargues,34,20.16,2019
30341,Vauvert,30,34022,Baillargues,34,25.21,2019
31555,Toulouse,31,34022,Baillargues,34,9.33,2019
34022,Baillargues,34,34022,Baillargues,34,6896.43,2019
34057,Castelnau-le-Lez,34,34022,Baillargues,34,50.41,2019
34090,Le Crès,34,34022,Baillargues,34,5.04,2019
34120,Jacou,34,34022,Baillargues,34,10.08,2019
34123,Juvignac,34,34022,Baillargues,34,30.25,2019
34127,Lansargues,34,34022,Baillargues,34,5.04,2019
34129,Lattes,34,34022,Baillargues,34,25.21,2019
34145,Lunel,34,34022,Baillargues,34,15.12,2019
34154,Mauguio,34,34022,Baillargues,34,65.54,2019
34172,Montpellier,34,34022,Baillargues,34,105.86,2019
34198,Pérols,34,34022,Baillargues,34,5.04,2019
34227,Restinclières,34,34022,Baillargues,34,5.04,2019
34240,Saint-Aunès,34,34022,Baillargues,34,5.04,2019
34244,Saint-Brès,34,34022,Baillargues,34,10.08,2019
34255,Saint-Gély-du-Fesc,34,34022,Baillargues,34,5.04,2019
34256,Saint-Geniès-des-Mourgues,34,34022,Baillargues,34,30.25,2019
34270,Saint-Jean-de-Védas,34,34022,Baillargues,34,10.08,2019
42218,Saint-Étienne,42,34022,Baillargues,34,5.04,2019
44109,Nantes,44,34022,Baillargues,34,4.29,2019
45234,Orléans,45,34022,Baillargues,34,15.12,2019
59606,Valenciennes,59,34022,Baillargues,34,5.04,2019
62041,Arras,62,34022,Baillargues,34,15.12,2019
63113,Clermont-Ferrand,63,34022,Baillargues,34,4.29,2019
67482,Strasbourg,67,34022,Baillargues,34,4.29,2019
69266,Villeurbanne,69,34022,Baillargues,34,5.04,2019
75114,Paris 14e Arrondissement,75,34022,Baillargues,34,5.04,2019
75115,Paris 15e Arrondissement,75,34022,Baillargues,34,5.04,2019
81004,Albi,81,34022,Baillargues,34,4.29,2019
84054,L'Isle-sur-la-Sorgue,84,34022,Baillargues,34,10.08,2019
84141,Vedène,84,34022,Baillargues,34,10.08,2019
86194,Poitiers,86,34022,Baillargues,34,5.04,2019
92004,Asnières-sur-Seine,92,34022,Baillargues,34,15.12,2019
93066,Saint-Denis,93,34022,Baillargues,34,5.04,2019
99999,Résidence antérieure dans un pays étranger,99,34022,Baillargues,34,40.33,2019
25580,Valentigney,25,34027,Beaulieu,34,5.45,2019
30123,Gallargues-le-Montueux,30,34027,Beaulieu,34,5.45,2019
30133,Le Grau-du-Roi,30,34027,Beaulieu,34,15.63,2019
30321,Sommières,30,34027,Beaulieu,34,5.45,2019
30341,Vauvert,30,34027,Beaulieu,34,5.33,2019
34022,Baillargues,34,34027,Beaulieu,34,26.05,2019
34027,Beaulieu,34,34027,Beaulieu,34,1813.23,2019
34033,Boisseron,34,34027,Beaulieu,34,5.21,2019
34058,Castries,34,34027,Beaulieu,34,31.51,2019
34090,Le Crès,34,34027,Beaulieu,34,15.63,2019
34095,Fabrègues,34,34027,Beaulieu,34,10.66,2019
34110,Galargues,34,34027,Beaulieu,34,15.63,2019
34129,Lattes,34,34027,Beaulieu,34,5.33,2019
34172,Montpellier,34,34027,Beaulieu,34,31.38,2019
34227,Restinclières,34,34027,Beaulieu,34,56.39,2019
34249,Saint-Drézéry,34,34027,Beaulieu,34,5.45,2019
34256,Saint-Geniès-des-Mourgues,34,34027,Beaulieu,34,20.37,2019
34309,Teyran,34,34027,Beaulieu,34,5.45,2019
69049,Chasselay,69,34027,Beaulieu,34,5.21,2019
81065,Castres,81,34027,Beaulieu,34,5.45,2019
81120,Labruguière,81,34027,Beaulieu,34,10.42,2019
97416,Saint-Pierre,97,34027,Beaulieu,34,5.09,2019
99999,Résidence antérieure dans un pays étranger,99,34027,Beaulieu,34,4.98,2019
01185,Plateau d'Hauteville,01,34057,Castelnau-le-Lez,34,0.88,2019
01241,Meillonnas,01,34057,Castelnau-le-Lez,34,1.1,2019
01244,Meximieux,01,34057,Castelnau-le-Lez,34,1.82,2019
04061,Colmars,04,34057,Castelnau-le-Lez,34,20.0,2019
04242,Villeneuve,04,34057,Castelnau-le-Lez,34,4.99,2019
05071,Lardier-et-Valença,05,34057,Castelnau-le-Lez,34,1.64,2019
06004,Antibes,06,34057,Castelnau-le-Lez,34,1.1,2019
06155,Vallauris,06,34057,Castelnau-le-Lez,34,2.5,2019
07076,Cruas,07,34057,Castelnau-le-Lez,34,1.25,2019
07242,Saint-Gineys-en-Coiron,07,34057,Castelnau-le-Lez,34,1.64,2019
07319,Le Teil,07,34057,Castelnau-le-Lez,34,1.82,2019
08327,Nouvion-sur-Meuse,08,34057,Castelnau-le-Lez,34,2.19,2019
09173,Loubens,09,34057,Castelnau-le-Lez,34,4.28,2019
10126,Dolancourt,10,34057,Castelnau-le-Lez,34,2.63,2019
10250,Montier-en-l'Isle,10,34057,Castelnau-le-Lez,34,2.63,2019
11069,Carcassonne,11,34057,Castelnau-le-Lez,34,1.82,2019
11254,Montréal,11,34057,Castelnau-le-Lez,34,8.72,2019
11262,Narbonne,11,34057,Castelnau-le-Lez,34,2.0,2019
11315,Rieux-Minervois,11,34057,Castelnau-le-Lez,34,1.1,2019
11379,Sigean,11,34057,Castelnau-le-Lez,34,1.1,2019
12145,Millau,12,34057,Castelnau-le-Lez,34,2.5,2019
13004,Arles,13,34057,Castelnau-le-Lez,34,2.52,2019
13005,Aubagne,13,34057,Castelnau-le-Lez,34,1.64,2019
13043,Gignac-la-Nerthe,13,34057,Castelnau-le-Lez,34,3.29,2019
13103,Salon-de-Provence,13,34057,Castelnau-le-Lez,34,2.19,2019
13104,Sausset-les-Pins,13,34057,Castelnau-le-Lez,34,1.25,2019
13111,Vauvenargues,13,34057,Castelnau-le-Lez,34,6.23,2019
13208,Marseille 8e Arrondissement,13,34057,Castelnau-le-Lez,34,5.59,2019
13212,Marseille 12e Arrondissement,13,34057,Castelnau-le-Lez,34,4.41,2019
13213,Marseille 13e Arrondissement,13,34057,Castelnau-le-Lez,34,1.25,2019
13214,Marseille 14e Arrondissement,13,34057,Castelnau-le-Lez,34,6.19,2019
13215,Marseille 15e Arrondissement,13,34057,Castelnau-le-Lez,34,0.88,2019
14118,Caen,14,34057,Castelnau-le-Lez,34,5.25,2019
18087,Dun-sur-Auron,18,34057,Castelnau-le-Lez,34,8.86,2019
18279,Vierzon,18,34057,Castelnau-le-Lez,34,2.19,2019
22113,Lannion,22,34057,Castelnau-le-Lez,34,0.91,2019
25056,Besançon,25,34057,Castelnau-le-Lez,34,1.55,2019
26057,Bourg-de-Péage,26,34057,Castelnau-le-Lez,34,1.1,2019
26058,Bourg-lès-Valence,26,34057,Castelnau-le-Lez,34,1.25,2019
26281,Romans-sur-Isère,26,34057,Castelnau-le-Lez,34,1.93,2019
26333,Saint-Vallier,26,34057,Castelnau-le-Lez,34,0.91,2019
26362,Valence,26,34057,Castelnau-le-Lez,34,4.01,2019
27229,Évreux,27,34057,Castelnau-le-Lez,34,1.76,2019
29046,Douarnenez,29,34057,Castelnau-le-Lez,34,1.1,2019
2A004,Ajaccio,2A,34057,Castelnau-le-Lez,34,2.5,2019
2A130,Grosseto-Prugna,2A,34057,Castelnau-le-Lez,34,16.11,2019
30003,Aigues-Mortes,30,34057,Castelnau-le-Lez,34,1.25,2019
30004,Aigues-Vives,30,34057,Castelnau-le-Lez,34,0.88,2019
30006,Aimargues,30,34057,Castelnau-le-Lez,34,1.1,2019
30007,Alès,30,34057,Castelnau-le-Lez,34,11.73,2019
30025,Aumessas,30,34057,Castelnau-le-Lez,34,2.5,2019
