code_origine,commune_origine,dep_origine,code_destination,commune_destination,dep_destination,flux,annee
01004,Ambérieu-en-Bugey,01,35238,Rennes,35,2.79,2019
01004,Ambérieu-en-Bugey,01,42095,Firminy,42,4.4,2019
01007,Ambronay,01,38185,Grenoble,38,5.0,2019
01010,Anglefort,01,38185,Grenoble,38,4.74,2019
01026,Bâgé-le-Châtel,01,42218,Saint-Étienne,42,5.0,2019
01032,Béligneux,01,38185,Grenoble,38,5.04,2019
01032,Béligneux,01,42207,Saint-Chamond,42,10.07,2019
01033,Valserhône,01,34172,Montpellier,34,3.08,2019
01033,Valserhône,01,38185,Grenoble,38,2.81,2019
01033,Valserhône,01,38382,Saint-Égrève,38,10.6,2019
01033,Valserhône,01,38421,Saint-Martin-d'Hères,38,8.34,2019
01033,Valserhône,01,76540,Rouen,76,0.99,2019
01034,Belley,01,38185,Grenoble,38,5.01,2019
01038,Bény,01,42307,Tartaras,42,4.62,2019
01043,Beynost,01,38185,Grenoble,38,5.0,2019
01044,Billiat,01,38185,Grenoble,38,4.93,2019
01049,La Boisse,01,34198,Pérols,34,4.92,2019
01053,Bourg-en-Bresse,01,34172,Montpellier,34,2.85,2019
01053,Bourg-en-Bresse,01,38185,Grenoble,38,11.99,2019
01053,Bourg-en-Bresse,01,38382,Saint-Égrève,38,2.98,2019
01053,Bourg-en-Bresse,01,42218,Saint-Étienne,42,7.82,2019
01053,Bourg-en-Bresse,01,42305,La Talaudière,42,5.89,2019
01053,Bourg-en-Bresse,01,76540,Rouen,76,2.78,2019
01058,Brégnier-Cordon,01,42218,Saint-Étienne,42,5.05,2019
01060,Brénod,01,42218,Saint-Étienne,42,4.54,2019
01073,Ceyzérieu,01,38185,Grenoble,38,14.34,2019
01078,Challex,01,38185,Grenoble,38,4.9,2019
01089,Château-Gaillard,01,76575,Saint-Étienne-du-Rouvray,76,5.0,2019
01092,Châtillon-la-Palud,01,42218,Saint-Étienne,42,5.0,2019
01093,Châtillon-sur-Chalaronne,01,42218,Saint-Étienne,42,10.29,2019
01099,Chazey-sur-Ain,01,35238,Rennes,35,4.93,2019
01099,Chazey-sur-Ain,01,42218,Saint-Étienne,42,4.93,2019
01103,Chevry,01,42218,Saint-Étienne,42,5.0,2019
01118,Corbonod,01,38185,Grenoble,38,4.93,2019
01133,Cressin-Rochefort,01,38185,Grenoble,38,4.99,2019
01134,Crottet,01,76540,Rouen,76,5.0,2019
01142,Dagneux,01,34172,Montpellier,34,5.0,2019
01142,Dagneux,01,42218,Saint-Étienne,42,14.7,2019
01142,Dagneux,01,42223,Saint-Genest-Lerpt,42,5.0,2019
01143,Divonne-les-Bains,01,38185,Grenoble,38,5.17,2019
01143,Divonne-les-Bains,01,76540,Rouen,76,5.0,2019
01157,Fareins,01,42218,Saint-Étienne,42,4.9,2019
01160,Ferney-Voltaire,01,76540,Rouen,76,5.0,2019
01166,Frans,01,34172,Montpellier,34,10.41,2019
01173,Gex,01,35238,Rennes,35,6.76,2019
01173,Gex,01,38185,Grenoble,38,3.64,2019
01188,Illiat,01,34172,Montpellier,34,4.87,2019
01189,Injoux-Génissiat,01,42218,Saint-Étienne,42,5.0,2019
01192,Izernore,01,38185,Grenoble,38,4.57,2019
01202,Lagnieu,01,34172,Montpellier,34,5.34,2019
01207,Lapeyrouse,01,42218,Saint-Étienne,42,5.05,2019
01212,Lescheroux,01,38185,Grenoble,38,5.04,2019
01227,Magnieu,01,38185,Grenoble,38,5.01,2019
01237,Martignat,01,38185,Grenoble,38,4.93,2019
01238,Massieux,01,38516,La Tronche,38,4.93,2019
01238,Massieux,01,42218,Saint-Étienne,42,4.93,2019
01243,Messimy-sur-Saône,01,38185,Grenoble,38,5.0,2019
01244,Meximieux,01,35238,Rennes,35,4.95,2019
