Comparateur de territoires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
© Insee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population;EPCI : Grenoble-Alpes-Métropole (200040715);EPCI : Rennes Métropole (243500139);Commune : Bresson (38057);Commune : Brié-et-Angonnes (38059);Commune : Champ-sur-Drac (38071);Commune : Champagnier (38068);Commune : Claix (38111);Commune : Corenc (38126);Commune : Domène (38150);Commune : Échirolles (38151);Commune : Eybens (38158);Commune : Fontaine (38169);Commune : Gières (38179);Commune : Grenoble (38185);Commune : Herbeys (38188);Commune : Jarrie (38200);Commune : La Tronche (38516);Commune : Fontanil-Cornillon (38170);Commune : Le Gua (38187);Commune : Le Pont-de-Claix (38317);Commune : Le Sappey-en-Chartreuse (38471);Commune : Meylan (38229);Commune : Miribel-Lanchâtre (38235);Commune : Mont-Saint-Martin (38258);Commune : Montchaboud (38252);Commune : Murianette (38271);Commune : Notre-Dame-de-Commiers (38277);Commune : Notre-Dame-de-Mésage (38279);Commune : Noyarey (38281);Commune : Poisat (38309);Commune : Proveysieux (38325);Commune : Quaix-en-Chartreuse (38328);Commune : Saint-Barthélemy-de-Séchilienne (38364);Commune : Saint-Égrève (38382);Commune : Saint-Georges-de-Commiers (38388);Commune : Saint-Martin-d'Hères (38421);Commune : Saint-Martin-le-Vinoux (38423);Commune : Saint-Paul-de-Varces (38436);Commune : Saint-Pierre-de-Mésage (38445);Commune : Sarcenas (38472);Commune : Sassenage (38474);Commune : Séchilienne (38478);Commune : Seyssinet-Pariset (38485);Commune : Seyssins (38486);Commune : Varces-Allières-et-Risset (38524);Commune : Vaulnaveys-le-Bas (38528);Commune : Vaulnaveys-le-Haut (38529);Commune : Venon (38533);Commune : Veurey-Voroize (38540);Commune : Vif (38545);Commune : Vizille (38562)
Population en 2022;449509;473973;671;2509;3344;1506;7840;4177;6777;36708;10095;22471;7353;156389;1388;3925;6447;3410;1883;10846;1154;18790;450;93;347;866;527;1117;2321;2120;519;926;424;17930;2691;38022;5957;2212;788;250;11579;1004;11784;8087;8314;1379;4018;836;1392;8557;7316
Densité de la population (nombre d'habitants au km²) en 2022;824;672,3;241,4;258,7;374,9;227,8;325;642,6;1281,1;4670,2;2243,3;3334;1061;8626;179,6;296;1004,2;620;66,1;1936,8;76,3;1525,2;46,6;17,5;177;142,7;110;246,6;137,7;828,1;25,5;51,2;35;1648;184,1;4106;592,1;112,3;112,1;32,2;869,9;46,8;1106,5;1010,9;398,2;115,9;202,3;192,6;114;302,4;696,1
Superficie en 2022, en km²;545,5;705;2,8;9,7;8,9;6,6;24,1;6,5;5,3;7,9;4,5;6,7;6,9;18,1;7,7;13,3;6,4;5,5;28,5;5,6;15,1;12,3;9,7;5,3;2;6,1;4,8;4,5;16,9;2,6;20,4;18,1;12,1;10,9;14,6;9,3;10,1;19,7;7;7,8;13,3;21,5;10,7;8;20,9;11,9;19,9;4,3;12,2;28,3;10,5
Variation de la population : taux annuel moyen entre 2016 et 2022, en %;0,2;1,1;-0,3;-0,3;1,7;3,4;-0,4;0,7;0,1;0,4;-0,5;0;1,8;-0,2;0,3;0,8;-0,5;3,8;0,8;0,2;0,6;1,6;1,1;2,5;-0,1;-0,5;0,9;-0,7;0,6;-0,7;0,5;0,5;-0,6;2;3,9;-0,3;0,6;0,2;0,6;4,6;0,3;-0,6;-0,3;1,6;0,1;1,4;1,3;2,5;-0,6;0,4;-0,3
dont variation due au solde naturel : taux annuel moyen entre 2016 et 2022, en %;0,4;0,5;-0,3;0;0,2;0,2;0,2;-0,7;0,2;0,6;0,5;0,4;0,7;0,6;0,4;0,3;0,1;-0,1;0,2;0,5;0,9;0,1;0,7;1,6;0,3;0,2;0,8;0;-0,1;0,1;0,5;0,6;0,3;0,4;0;0,5;0,4;0,4;-0,2;1,1;0,2;0,6;0,4;0;0,5;0,2;0,5;0,2;0,5;0,2;-0,3
dont variation due au solde apparent des entrées sorties : taux annuel moyen entre 2016 et 2022, en %;-0,2;0,6;0;-0,3;1,5;3,1;-0,6;1,4;-0,1;-0,2;-0,9;-0,4;1,1;-0,8;-0,1;0,5;-0,7;3,9;0,5;-0,3;-0,3;1,5;0,4;1;-0,4;-0,7;0,2;-0,7;0,7;-0,7;0;-0,1;-0,8;1,6;3,9;-0,8;0,2;-0,2;0,8;3,5;0,1;-1,1;-0,7;1,6;-0,4;1,2;0,7;2,3;-1;0,1;0,1
Nombre de ménages en 2022;214781;228443;295;1031;1480;600;3449;1768;3145;16221;4630;10783;3707;83825;592;1667;2906;1490;791;4741;451;8950;173;45;148;358;202;483;940;935;214;377;173;8066;1029;17331;2612;910;310;100;5092;416;5639;3415;2878;559;1792;337;589;3685;3452
Sources : Insee, RP2016 et RP2022 exploitations principales en géographie au 01/01/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
