CodGeo;Note;nbLsPls;nbLsMes;txVac;txVac3m;txRot;txLsCol;txLsInd;txLs1p;txLs2p;txLs3p;txLs4p;txLs5pp;txLsm30;txLs30a40;txLs40a60;txLs60a80;txLs80a100;txLs100a120;txLs120p;txLsAv49;txLs49a75;txLs76a88;txLs89a00;txLs01a13;txLsAp13;txLsPlai;txLsPlusAv77;txLsPlusAp77;txLsPls;txLsPli;moyLoy;q1Loy;medLoy;q3Loy
01004;0;2112;37;4,5;1,9;9,8;93,7;6,3;6;17,8;43,5;26,3;6,4;2,6;3,8;23,9;45,9;20,3;2,9;0,7;5,4;24,6;17,1;10;15;28;10,8;34,7;38,9;13,2;2,4;6,16;5,18;5,81;6,74
01033;0;2101;0;2,1;0,8;6,9;90,9;9,1;5;21,2;38,5;26,6;8,8;2,2;5,3;25,4;40,8;23,5;2,9;0;6,8;36,3;17,1;16;8,4;15,3;6;46,1;32,4;12,3;3,2;6,08;5,16;5,98;6,62
01034;0;1126;0;3;2,6;8,7;89,1;10,9;5,2;20,4;39,2;28;7,2;1,3;9,2;28,2;42,3;16,2;1,8;1;0;54;15,4;8,1;13,8;8,7;3,6;55;37,6;3,8;0;5,9;5,13;5,95;6,47
01053;0;7211;11;2;0,9;9;92;8;7,6;23,4;33,8;28,9;6,2;2,3;5,9;27,4;41,9;20,4;1,6;0,4;2,9;42,5;22,6;10,5;14,3;7,2;4,6;56,1;31,9;6,7;0,7;6,16;5,5;6,02;6,7
01143;0;665;32;1,7;2,2;5,7;97,5;2,5;5,3;35,5;34,7;22,4;2,1;0;3,4;38,1;40,2;18,3;0;0;1,9;17,5;3,1;7;24,3;46,3;15,1;15;50,4;19,4;0;7,46;6,43;6,95;7,83
01160;0;1325;126;1,4;1;5,7;99,1;0,9;6,9;23,5;37,4;25;7,2;2,1;4,5;25,6;38,4;26,2;3,2;0;0;22,4;13,5;4,6;8,4;51;19,7;28,9;33,8;10,2;7,3;7,43;6,17;6,78;7,57
01173;0;1292;39;2,6;1,4;8;90,5;9,5;3,1;24,3;35,4;31;6,1;0,8;2,1;26;41,6;25,8;2,8;0,8;0;13,2;22,4;11,3;22,1;31;7,9;17,3;63,9;10,8;0;7,15;6,37;6,86;7,25
01194;0;710;0;2,8;0;9,3;95,4;4,6;2,1;19,1;41,1;31,1;6,6;0;3,5;23,2;48;22,6;2,7;0;0;42;12,4;25,1;13,7;6,9;2,7;42,8;42,1;12,4;0;6,84;6,18;6,83;7,5
01202;0;682;0;1,6;0;9,7;83,8;16,2;1,9;23,5;38,2;30,9;5,5;1,9;9,8;27,5;45,1;13,8;1,9;0;0;60,1;1,9;13,7;13,2;11,1;4,7;61,5;23,6;10,2;0;6,34;5,7;6,13;6,72
01244;0;798;18;3,5;1,4;9,3;84,3;15,7;4,6;21,8;33,2;29,9;10,5;0;2,3;24,3;41,1;29,2;3,1;0;0;16;41,9;18,9;17,5;5,6;5,5;23,6;63,8;7,2;0;6,45;5,75;6,32;7,13
