metropole,code_commune,nom_commune,annee,indicateur_occupation,valeur
Montpellier,34270,Saint-Jean-de-Védas,2022,STD_OCC,1748.66051
Rouen,76599,Saint-Léger-du-Bourg-Denis,2022,MOD_UNDER_OCC,456.56432
Montpellier,34270,Saint-Jean-de-Védas,2022,MOD_UNDER_OCC,1498.86561
Rennes,35216,Parthenay-de-Bretagne,2022,STD_OCC,45.93181
Montpellier,34077,Clapiers,2022,SEV_OVER_OCC,0.0
Montpellier,34202,Pignan,2022,SEV_UNDER_OCC,809.8396
Rouen,76634,Saint-Pierre-de-Manneville,2022,STD_OCC,55.1377
Montpellier,34270,Saint-Jean-de-Védas,2022,VSEV_UNDER_OCC,1428.90545
Rennes,35022,Bécherel,2022,SEV_UNDER_OCC,49.97545
Montpellier,34270,Saint-Jean-de-Védas,2022,SEV_UNDER_OCC,1094.16644
Saint-Etienne,42043,Chambœuf,2022,SEV_OVER_OCC,0.0
Rouen,76634,Saint-Pierre-de-Manneville,2022,MOD_OVER_OCC,0.0
Rennes,35216,Parthenay-de-Bretagne,2022,SEV_OVER_OCC,0.0
Grenoble,38150,Domène,2022,STD_OCC,713.38472
Rouen,76599,Saint-Léger-du-Bourg-Denis,2022,SEV_OVER_OCC,0.0
Montpellier,34202,Pignan,2022,MOD_UNDER_OCC,867.25423
Rouen,76005,Amfreville-la-Mi-Voie,2022,SEV_UNDER_OCC,316.25124
Saint-Etienne,42259,Saint-Martin-la-Plaine,2022,STD_OCC,185.14741
Grenoble,38388,Saint-Georges-de-Commiers,2022,SEV_UNDER_OCC,334.9478
Montpellier,34090,Le Crès,2022,STD_OCC,950.44563
Rennes,35039,Brécé,2022,VSEV_UNDER_OCC,283.99002
Rennes,35055,Chantepie,2022,MOD_UNDER_OCC,1385.04091
Rouen,76005,Amfreville-la-Mi-Voie,2022,MOD_OVER_OCC,64.42611
Rouen,76608,Sainte-Marguerite-sur-Duclair,2022,MOD_OVER_OCC,10.48177
Saint-Etienne,42093,Farnay,2022,SEV_UNDER_OCC,179.44765
Rouen,76608,Sainte-Marguerite-sur-Duclair,2022,STD_OCC,75.14529
Rennes,35363,Pont-Péan,2022,STD_OCC,361.42651
Rouen,76354,Hénouville,2022,SEV_OVER_OCC,4.81334
Rouen,76464,La Neuville-Chant-d'Oisel,2022,SEV_UNDER_OCC,280.0
Rennes,35055,Chantepie,2022,SEV_UNDER_OCC,784.83476
Saint-Etienne,42218,Saint-Étienne,2022,STD_OCC,25486.91219
Saint-Etienne,42218,Saint-Étienne,2022,MOD_OVER_OCC,10305.58915
Rouen,76005,Amfreville-la-Mi-Voie,2022,MOD_UNDER_OCC,448.33768
Rennes,35055,Chantepie,2022,SEV_OVER_OCC,17.60581
Montpellier,34090,Le Crès,2022,MOD_UNDER_OCC,935.90798
Saint-Etienne,42218,Saint-Étienne,2022,VSEV_UNDER_OCC,9364.97153
Grenoble,38388,Saint-Georges-de-Commiers,2022,SEV_OVER_OCC,0.0
Rennes,35039,Brécé,2022,MOD_UNDER_OCC,200.01363
Rouen,76486,Orival,2022,VSEV_UNDER_OCC,96.49478
Rennes,35039,Brécé,2022,SEV_OVER_OCC,0.0
Rouen,76464,La Neuville-Chant-d'Oisel,2022,MOD_UNDER_OCC,135.0
Grenoble,38421,Saint-Martin-d'Hères,2022,SEV_OVER_OCC,159.32076
Grenoble,38111,Claix,2022,SEV_UNDER_OCC,826.85544
Grenoble,38423,Saint-Martin-le-Vinoux,2022,MOD_UNDER_OCC,871.86706
Montpellier,34090,Le Crès,2022,SEV_UNDER_OCC,1004.65569
Grenoble,38328,Quaix-en-Chartreuse,2022,MOD_OVER_OCC,0.0
Rouen,76237,Épinay-sur-Duclair,2022,MOD_OVER_OCC,0.0
Rouen,76464,La Neuville-Chant-d'Oisel,2022,SEV_OVER_OCC,0.0
Rennes,35039,Brécé,2022,STD_OCC,120.63055
Saint-Etienne,42093,Farnay,2022,MOD_OVER_OCC,9.58141
Rennes,35363,Pont-Péan,2022,SEV_UNDER_OCC,386.5315
