metropole,code_commune,nom_commune,note_secret,nb_logements_sociaux,nb_logements_mesures,taux_vacance,taux_vacance_3mois,taux_rotation,part_collectif,part_individuel,part_T1,part_T2,part_T3,part_T4,part_T5plus,part_surf_inf30,part_surf_30_40,part_surf_40_60,part_surf_60_80,part_surf_80_100,part_surf_100_120,part_surf_sup120,part_avant_1949,part_1949_1975,part_1976_1988,part_1989_2000,part_2001_2013,part_apres_2013,part_PLAI,part_HLM_avant_1977,part_HLM_apres_1977,part_PLS,part_PLI,loyer_moyen,loyer_q1,loyer_median,loyer_q3
Montpellier,34022,Baillargues,0,439,78,0.0,0.0,6.3,84.7,15.3,3.8,31.7,42.8,21.6,0.0,4.0,3.1,31.4,46.0,13.0,2.5,0.0,0.0,0.0,0.0,23.5,32.8,43.7,22.3,0.0,71.3,6.4,0.0,6.91,6.4,6.83,7.28
Montpellier,34057,Castelnau-le-Lez,0,2201,60,0.9,0.5,7.8,96.4,3.6,10.2,29.4,39.7,18.3,2.4,7.4,5.1,30.5,41.2,14.4,1.5,0.0,0.0,0.0,3.4,11.0,23.9,61.7,23.1,0.0,62.0,12.6,2.4,7.51,6.8,7.39,7.78
Montpellier,34058,Castries,0,344,0,0.0,0.0,4.6,73.9,26.1,5.0,24.9,40.4,23.4,6.4,0.0,7.9,27.2,41.7,18.5,4.6,0.0,3.2,0.0,4.6,13.2,30.2,48.9,17.8,3.4,74.7,4.1,0.0,6.62,5.99,6.59,6.98
Montpellier,34077,Clapiers,0,377,31,3.4,0.0,5.3,75.8,24.2,0.0,32.2,35.1,25.5,7.2,0.0,0.0,33.2,43.6,20.3,2.9,0.0,0.0,0.0,5.0,22.9,27.4,44.7,21.9,0.0,78.1,0.0,0.0,6.94,6.48,6.84,7.4
Montpellier,34088,Cournonterral,0,290,31,4.9,0.0,9.2,96.1,3.9,0.0,28.0,40.8,27.0,4.3,0.0,0.0,28.5,42.3,29.2,0.0,0.0,4.2,0.0,4.2,0.0,15.6,76.0,26.3,0.0,73.7,0.0,0.0,6.71,6.43,6.66,7.02
Montpellier,34090,Le Crès,0,482,11,0.0,0.0,8.9,92.1,7.9,8.9,27.2,42.9,18.8,2.3,2.6,6.1,23.0,55.0,13.3,0.0,0.0,0.0,17.8,0.0,6.5,31.0,44.7,23.6,16.9,54.8,4.7,0.0,6.85,6.19,7.11,7.6
Montpellier,34095,Fabrègues,0,253,45,6.1,0.0,5.3,87.3,12.7,0.0,38.0,48.7,9.1,4.2,0.0,0.0,39.1,49.4,11.5,0.0,0.0,0.0,0.0,4.0,0.0,29.9,66.1,27.3,0.0,72.7,0.0,0.0,6.81,6.39,6.87,7.12
Montpellier,34116,Grabels,0,473,0,0.0,0.0,5.0,76.1,23.9,0.0,25.1,41.3,28.4,5.3,0.0,2.3,28.8,42.9,23.7,2.3,0.0,0.0,0.0,0.0,13.5,50.4,36.0,23.1,0.0,66.9,10.0,0.0,7.41,6.59,7.14,7.73
Montpellier,34120,Jacou,0,462,0,0.0,0.0,5.3,89.2,10.8,2.7,31.0,45.2,18.3,2.9,2.3,3.6,30.6,45.8,17.7,0.0,0.0,0.0,0.0,0.0,43.6,25.0,31.4,14.7,0.0,75.4,9.9,0.0,7.6,6.99,7.44,8.0
Montpellier,34123,Juvignac,0,1023,31,1.4,0.0,5.4,92.8,7.2,10.2,26.7,42.9,18.6,1.5,9.6,1.5,27.2,46.7,13.6,1.4,0.0,0.0,0.0,0.0,7.2,25.8,67.0,21.2,0.0,57.9,17.8,3.1,7.48,6.94,7.35,7.66
