Code_commune_arrivee,Commune_arrivee,Code_commune_depart,Commune_depart,Flux_migrants_1an_ou_plus
35001,Acigné,03195,Néris-les-Bains,10.01
35001,Acigné,14041,Barneville-la-Bertran,20.02
35001,Acigné,14118,Caen,5.0
35001,Acigné,21278,Fontaine-lès-Dijon,5.0
35001,Acigné,22081,Hillion,5.0
35001,Acigné,29075,Guipavas,10.01
35001,Acigné,29236,Riec-sur-Bélon,5.0
35001,Acigné,33227,Langon,10.01
35001,Acigné,34154,Mauguio,5.0
35001,Acigné,35001,Acigné,6270.43
35001,Acigné,35024,Betton,5.0
35001,Acigné,35047,Bruz,70.06
35001,Acigné,35051,Cesson-Sévigné,25.02
35001,Acigné,35093,Dinard,5.0
35001,Acigné,35137,Javené,15.01
35001,Acigné,35154,Livré-sur-Changeon,5.0
35001,Acigné,35184,Montauban-de-Bretagne,10.01
35001,Acigné,35198,Moulins,5.0
35001,Acigné,35207,Noyal-sur-Vilaine,60.05
35001,Acigné,35238,Rennes,135.12
35001,Acigné,35251,Saint-Aubin-d'Aubigné,20.02
35001,Acigné,35327,Servon-sur-Vilaine,15.01
35001,Acigné,35360,Vitré,5.0
35001,Acigné,37261,Tours,5.0
35001,Acigné,44074,Indre,5.0
35001,Acigné,44172,Sainte-Luce-sur-Loire,5.0
35001,Acigné,45258,Puiseaux,10.01
35001,Acigné,50615,Valognes,5.0
35001,Acigné,56223,Saint-Jean-la-Poterie,10.01
35001,Acigné,75111,Paris 11e Arrondissement,20.02
35001,Acigné,75113,Paris 13e Arrondissement,5.0
35001,Acigné,77259,Longperrier,10.01
35001,Acigné,91340,Lisses,5.0
35001,Acigné,92050,Nanterre,20.02
35001,Acigné,92051,Neuilly-sur-Seine,5.0
35001,Acigné,93005,Aulnay-sous-Bois,5.0
35001,Acigné,93051,Noisy-le-Grand,5.0
35001,Acigné,97611,Mamoudzou,5.0
35001,Acigné,99999,Résidence antérieure dans un pays étranger,5.0
35022,Bécherel,22282,Saint-Cast-le-Guildo,4.99
35022,Bécherel,25056,Besançon,5.16
35022,Bécherel,29257,Saint-Pabu,9.99
35022,Bécherel,35022,Bécherel,570.73
35022,Bécherel,35131,L'Hermitage,4.83
35022,Bécherel,35135,Irodouër,5.0
35022,Bécherel,35167,Martigné-Ferchaud,22.6
35022,Bécherel,35180,Miniac-sous-Bécherel,10.16
35022,Bécherel,35238,Rennes,4.99
35022,Bécherel,35245,Romillé,15.33
35022,Bécherel,35308,Mesnil-Roc'h,4.99
35022,Bécherel,75118,Paris 18e Arrondissement,18.69
35024,Betton,01004,Ambérieu-en-Bugey,4.03
35024,Betton,03112,Étroussat,3.98
35024,Betton,06088,Nice,6.46
35024,Betton,14167,Colombelles,2.89
35024,Betton,14371,Livarot-Pays-d'Auge,1.61
35024,Betton,22050,Dinan,7.15
35024,Betton,22208,Plouasne,1.17
35024,Betton,22221,Plouguiel,3.12
35024,Betton,22237,Val-d'Arguenon,1.17
35024,Betton,22251,Pordic,1.09
35024,Betton,22277,Saint-Brandan,15.6
35024,Betton,22337,Sévignac,2.35
35024,Betton,26362,Valence,2.46
