code_residence,commune_residence,dep_residence,code_travail,commune_travail,dep_travail,flux,annee
01004,Ambérieu-en-Bugey,01,42218,Saint-Étienne,42,2.7923935984775,2019
01005,Ambérieux-en-Dombes,01,38185,Grenoble,38,4.9130190796857,2019
01007,Ambronay,01,38185,Grenoble,38,5.0,2019
01007,Ambronay,01,38229,Meylan,38,5.0,2019
01015,Arboys en Bugey,01,38158,Eybens,38,5.04124160209023,2019
01021,Ars-sur-Formans,01,42218,Saint-Étienne,42,5.07053811521372,2019
01024,Attignat,01,38185,Grenoble,38,4.89764144408491,2019
01027,Balan,01,42305,La Talaudière,42,5.10190252116563,2019
01033,Valserhône,01,35240,Le Rheu,35,4.62595362732762,2019
01033,Valserhône,01,38158,Eybens,38,1.04050525625625,2019
01034,Belley,01,42218,Saint-Étienne,42,5.01131983786457,2019
01041,Bettant,01,38185,Grenoble,38,5.041955366102,2019
01043,Beynost,01,35238,Rennes,35,5.0,2019
01045,Birieux,01,42305,La Talaudière,42,5.04093314038264,2019
01047,Blyes,01,42237,Saint-Jean-Bonnefonds,42,4.65721040189134,2019
01049,La Boisse,01,42218,Saint-Étienne,42,4.92156556429984,2019
01052,Bouligneux,01,42218,Saint-Étienne,42,5.00881234316774,2019
01053,Bourg-en-Bresse,01,34088,Cournonterral,34,2.58306119926327,2019
01053,Bourg-en-Bresse,01,34172,Montpellier,34,5.42301776809769,2019
01053,Bourg-en-Bresse,01,42218,Saint-Étienne,42,3.68798462405225,2019
01054,Bourg-Saint-Christophe,01,42186,Rive-de-Gier,42,5.18253483910417,2019
01054,Bourg-Saint-Christophe,01,42218,Saint-Étienne,42,5.18253483910417,2019
01058,Brégnier-Cordon,01,38151,Échirolles,38,5.05392334123621,2019
01058,Brégnier-Cordon,01,38486,Seyssins,38,5.05392334123601,2019
01061,Brens,01,42186,Rive-de-Gier,42,5.04854368932039,2019
01073,Ceyzérieu,01,42099,Fraisses,42,5.03883213995816,2019
01077,Challes-la-Montagne,01,42044,Le Chambon-Feugerolles,42,5.07772020725389,2019
01085,La Chapelle-du-Châtelard,01,38229,Meylan,38,5.1565732364414,2019
01099,Chazey-sur-Ain,01,76540,Rouen,76,4.92768553437494,2019
01105,Civrieux,01,42005,Andrézieux-Bouthéon,42,5.0,2019
01112,Condamine,01,42218,Saint-Étienne,42,4.80370105225064,2019
01134,Crottet,01,42218,Saint-Étienne,42,4.75282726460146,2019
01138,Culoz,01,38185,Grenoble,38,5.01939258410193,2019
01140,Curtafond,01,42218,Saint-Étienne,42,4.82133212333557,2019
01142,Dagneux,01,42092,L'Étrat,42,5.10759656516528,2019
01142,Dagneux,01,42218,Saint-Étienne,42,5.10759656516528,2019
01149,Douvres,01,38185,Grenoble,38,4.91773308957952,2019
01156,Faramans,01,38185,Grenoble,38,5.03469118358437,2019
01160,Ferney-Voltaire,01,42218,Saint-Étienne,42,10.2000987810913,2019
01173,Gex,01,38185,Grenoble,38,3.00683569941613,2019
01202,Lagnieu,01,38229,Meylan,38,4.35841849724814,2019
01219,Lompnas,01,38185,Grenoble,38,5.0,2019
01224,Loyettes,01,34172,Montpellier,34,5.17985515316695,2019
01227,Magnieu,01,38421,Saint-Martin-d'Hères,38,5.00778816199377,2019
01243,Messimy-sur-Saône,01,38516,La Tronche,38,5.0,2019
01249,Miribel,01,34172,Montpellier,34,4.96854554518575,2019
01249,Miribel,01,38185,Grenoble,38,9.93709109037189,2019
01249,Miribel,01,38229,Meylan,38,4.96854554518614,2019
01262,Montluel,01,34172,Montpellier,34,5.0,2019
01262,Montluel,01,38185,Grenoble,38,5.0,2019
01269,Nantua,01,38185,Grenoble,38,10.1590939458702,2019
01276,Niévroz,01,38540,Veurey-Voroize,38,5.02882348809593,2019
01283,Oyonnax,01,38185,Grenoble,38,2.90160896489783,2019
01283,Oyonnax,01,38382,Saint-Égrève,38,2.47253541119632,2019
