code_origine,commune_origine,dep_origine,code_destination,commune_destination,dep_destination,flux,annee
01004,Ambérieu-en-Bugey,01,35238,Rennes,35,2.7923935984775,2019
01004,Ambérieu-en-Bugey,01,42095,Firminy,42,4.39525673359675,2019
01007,Ambronay,01,38185,Grenoble,38,5.0,2019
01010,Anglefort,01,38185,Grenoble,38,4.7434244022398,2019
01026,Bâgé-le-Châtel,01,42218,Saint-Étienne,42,5.0,2019
01032,Béligneux,01,38185,Grenoble,38,5.03853956127081,2019
01032,Béligneux,01,42207,Saint-Chamond,42,10.0726436210594,2019
01033,Valserhône,01,34172,Montpellier,34,3.0758203179937,2019
01033,Valserhône,01,38185,Grenoble,38,2.81175270268604,2019
01033,Valserhône,01,38382,Saint-Égrève,38,10.5957276804764,2019
01033,Valserhône,01,38421,Saint-Martin-d'Hères,38,8.34171803717292,2019
01033,Valserhône,01,76540,Rouen,76,0.994128923904815,2019
01034,Belley,01,38185,Grenoble,38,5.01131983786457,2019
01038,Bény,01,42307,Tartaras,42,4.62329178035898,2019
01043,Beynost,01,38185,Grenoble,38,5.0,2019
01044,Billiat,01,38185,Grenoble,38,4.93469432399435,2019
01049,La Boisse,01,34198,Pérols,34,4.92156556429984,2019
01053,Bourg-en-Bresse,01,34172,Montpellier,34,2.85193500000062,2019
01053,Bourg-en-Bresse,01,38185,Grenoble,38,11.9906256616929,2019
01053,Bourg-en-Bresse,01,38382,Saint-Égrève,38,2.9803052823288,2019
01053,Bourg-en-Bresse,01,42218,Saint-Étienne,42,7.81827170163536,2019
01053,Bourg-en-Bresse,01,42305,La Talaudière,42,5.88704137832808,2019
01053,Bourg-en-Bresse,01,76540,Rouen,76,2.77869426222278,2019
01058,Brégnier-Cordon,01,42218,Saint-Étienne,42,5.05392334123611,2019
01060,Brénod,01,42218,Saint-Étienne,42,4.54057331292199,2019
01073,Ceyzérieu,01,38185,Grenoble,38,14.3373499642654,2019
01078,Challex,01,38185,Grenoble,38,4.89910477558235,2019
01089,Château-Gaillard,01,76575,Saint-Étienne-du-Rouvray,76,5.0,2019
01092,Châtillon-la-Palud,01,42218,Saint-Étienne,42,5.0,2019
01093,Châtillon-sur-Chalaronne,01,42218,Saint-Étienne,42,10.2944269435018,2019
01099,Chazey-sur-Ain,01,35238,Rennes,35,4.92768553437489,2019
01099,Chazey-sur-Ain,01,42218,Saint-Étienne,42,4.92768553437494,2019
01103,Chevry,01,42218,Saint-Étienne,42,5.0,2019
01118,Corbonod,01,38185,Grenoble,38,4.92507485152396,2019
01133,Cressin-Rochefort,01,38185,Grenoble,38,4.9873417721519,2019
01134,Crottet,01,76540,Rouen,76,5.00073251308022,2019
01142,Dagneux,01,34172,Montpellier,34,5.00210435451997,2019
01142,Dagneux,01,42218,Saint-Étienne,42,14.7028194341193,2019
01142,Dagneux,01,42223,Saint-Genest-Lerpt,42,5.00210435451997,2019
01143,Divonne-les-Bains,01,38185,Grenoble,38,5.17352455598934,2019
01143,Divonne-les-Bains,01,76540,Rouen,76,5.00020449599846,2019
01157,Fareins,01,42218,Saint-Étienne,42,4.89621616210515,2019
01160,Ferney-Voltaire,01,76540,Rouen,76,5.00020082499361,2019
01166,Frans,01,34172,Montpellier,34,10.4121053597535,2019
01173,Gex,01,35238,Rennes,35,6.76002810782235,2019
01173,Gex,01,38185,Grenoble,38,3.63946787488629,2019
01188,Illiat,01,34172,Montpellier,34,4.86784140969155,2019
01189,Injoux-Génissiat,01,42218,Saint-Étienne,42,5.0,2019
01192,Izernore,01,38185,Grenoble,38,4.5737491133984,2019
01202,Lagnieu,01,34172,Montpellier,34,5.33713832776419,2019
01207,Lapeyrouse,01,42218,Saint-Étienne,42,5.04694849764929,2019
01212,Lescheroux,01,38185,Grenoble,38,5.04213483146067,2019
01227,Magnieu,01,38185,Grenoble,38,5.00778816199377,2019
01237,Martignat,01,38185,Grenoble,38,4.92534318003194,2019
01238,Massieux,01,38516,La Tronche,38,4.9279386076959,2019
01238,Massieux,01,42218,Saint-Étienne,42,4.927938607696,2019
01243,Messimy-sur-Saône,01,38185,Grenoble,38,5.0,2019
01244,Meximieux,01,35238,Rennes,35,4.94585145391045,2019
01244,Meximieux,01,38185,Grenoble,38,9.89170290782056,2019
01250,Misérieux,01,42218,Saint-Étienne,42,4.81149303144653,2019
01252,Mogneneins,01,38185,Grenoble,38,5.0,2019
01254,Montagnat,01,76575,Saint-Étienne-du-Rouvray,76,5.23104016176658,2019
01261,Monthieux,01,42218,Saint-Étienne,42,5.20286658021419,2019
01262,Montluel,01,42275,Saint-Priest-en-Jarez,42,5.0,2019
01263,Montmerle-sur-Saône,01,42218,Saint-Étienne,42,10.0324675324669,2019
01264,Montracol,01,38185,Grenoble,38,5.0,2019
01268,Murs-et-Gélignieux,01,38229,Meylan,38,5.0,2019
01269,Nantua,01,34172,Montpellier,34,5.07138182560564,2019
01283,Oyonnax,01,42218,Saint-Étienne,42,2.43354129704989,2019
01289,Péronnas,01,38185,Grenoble,38,5.03114162233008,2019
01289,Péronnas,01,42218,Saint-Étienne,42,9.96380570808929,2019
01290,Pérouges,01,34172,Montpellier,34,5.08666146102984,2019
01295,Peyzieux-sur-Saône,01,34172,Montpellier,34,5.1571067525006,2019
01304,Pont-d'Ain,01,42218,Saint-Étienne,42,5.03480825958711,2019
01313,Prévessin-Moëns,01,38185,Grenoble,38,4.86750894454383,2019
01322,Reyrieux,01,42275,Saint-Priest-en-Jarez,42,4.99995703928718,2019
01325,Rignieux-le-Franc,01,42207,Saint-Chamond,42,5.31318251545547,2019
01328,Romans,01,34172,Montpellier,34,4.71877651178961,2019
01335,Saint-André-le-Bouchoux,01,38185,Grenoble,38,5.0,2019
01344,Saint-Denis-lès-Bourg,01,42218,Saint-Étienne,42,5.0,2019
01354,Saint-Genis-Pouilly,01,34172,Montpellier,34,25.0,2019
01354,Saint-Genis-Pouilly,01,38185,Grenoble,38,15.0,2019
01354,Saint-Genis-Pouilly,01,38229,Meylan,38,5.0,2019
01354,Saint-Genis-Pouilly,01,38421,Saint-Martin-d'Hères,38,15.0,2019
01362,Saint-Jean-de-Thurigneux,01,42218,Saint-Étienne,42,4.97859469306678,2019
01369,Saint-Just,01,76451,Mont-Saint-Aignan,76,4.9672549639131,2019
01376,Saint-Maurice-de-Beynost,01,42218,Saint-Étienne,42,4.94054513887494,2019
01379,Saint-Maurice-de-Rémens,01,42207,Saint-Chamond,42,4.98687664041995,2019
01383,Saint-Paul-de-Varax,01,35238,Rennes,35,5.01988476589145,2019
01396,Sault-Brénaz,01,38185,Grenoble,38,5.07790816987635,2019
01398,Savigneux,01,76575,Saint-Étienne-du-Rouvray,76,5.34499603451777,2019
01399,Ségny,01,38185,Grenoble,38,5.06209521124851,2019
01404,Serrières-sur-Ain,01,35238,Rennes,35,5.03731343283582,2019
01415,Talissieu,01,38185,Grenoble,38,9.78372661676245,2019
01418,Thil,01,35238,Rennes,35,5.28489406531913,2019
01423,Toussieux,01,42218,Saint-Étienne,42,5.19586465307676,2019
01426,Val-Revermont,01,42218,Saint-Étienne,42,5.05953945028004,2019
01427,Trévoux,01,42218,Saint-Étienne,42,5.0,2019
01435,Versonnex,01,38185,Grenoble,38,5.0,2019
01443,Villars-les-Dombes,01,38185,Grenoble,38,5.0073646572121,2019
01444,Villebois,01,38185,Grenoble,38,5.0,2019
01449,Villette-sur-Ain,01,42218,Saint-Étienne,42,5.07726247796861,2019
01452,Virieu-le-Grand,01,34172,Montpellier,34,5.0,2019
01452,Virieu-le-Grand,01,42218,Saint-Étienne,42,5.0,2019
01453,Arvière-en-Valromey,01,38185,Grenoble,38,5.0262399225023,2019
02095,Bohain-en-Vermandois,02,76540,Rouen,76,5.0,2019
02110,Braine,02,34172,Montpellier,34,4.87778160121475,2019
02114,Brasles,02,35238,Rennes,35,5.10944820506959,2019
02168,Château-Thierry,02,35238,Rennes,35,3.12362690902805,2019
02168,Château-Thierry,02,38185,Grenoble,38,1.01547368979303,2019
02168,Château-Thierry,02,76451,Mont-Saint-Aignan,76,2.97944301749915,2019
02173,Chauny,02,76540,Rouen,76,1.44390673736058,2019
02195,Ciry-Salsogne,02,34198,Pérols,34,5.05555555555556,2019
02237,Crécy-sur-Serre,02,76540,Rouen,76,5.00781604880148,2019
02281,L'Épine-aux-Bois,02,35238,Rennes,35,10.0,2019
02289,Essises,02,35238,Rennes,35,5.0,2019
02292,Étampes-sur-Marne,02,38185,Grenoble,38,4.9023290758828,2019
02322,Fontaine-Notre-Dame,02,76540,Rouen,76,4.96849678657183,2019
02336,Frières-Faillouël,02,34172,Montpellier,34,5.0,2019
02339,Gandelu,02,35238,Rennes,35,10.1199045119964,2019
02353,Grandlup-et-Fay,02,35238,Rennes,35,5.0,2019
02374,Lehaucourt,02,76540,Rouen,76,4.78861069311469,2019
02381,Hirson,02,76540,Rouen,76,4.97893125961333,2019
02408,Laon,02,34172,Montpellier,34,6.00107363589955,2019
02506,Montgobert,02,76540,Rouen,76,5.078125,2019
02558,Le Nouvion-en-Thiérache,02,76540,Rouen,76,9.53839954676912,2019
02618,Prémont,02,35238,Rennes,35,5.02170767004342,2019
02676,Saint-Erme-Outre-et-Ramecourt,02,35238,Rennes,35,5.25751262807786,2019
02687,Saint-Pierre-Aigle,02,76540,Rouen,76,5.00313084048812,2019
02691,Saint-Quentin,02,34172,Montpellier,34,2.83302710956736,2019
02691,Saint-Quentin,02,35238,Rennes,35,3.01996097930493,2019
02722,Soissons,02,76540,Rouen,76,14.558383572769,2019
02734,Taillefontaine,02,38185,Grenoble,38,4.95665297895209,2019
02788,Versigny,02,76540,Rouen,76,5.0,2019
02800,Viffort,02,38185,Grenoble,38,5.0,2019
02810,Villers-Cotterêts,02,34172,Montpellier,34,10.3836909781085,2019
02810,Villers-Cotterêts,02,35238,Rennes,35,3.70138488237197,2019
02810,Villers-Cotterêts,02,38185,Grenoble,38,2.72190965091673,2019
02810,Villers-Cotterêts,02,76540,Rouen,76,5.243300256459,2019
03001,Abrest,03,42095,Firminy,42,5.0086236633322,2019
03003,Ainay-le-Château,03,35238,Rennes,35,5.14649584248987,2019
03023,Bellerive-sur-Allier,03,38185,Grenoble,38,4.94707066497235,2019
03023,Bellerive-sur-Allier,03,42218,Saint-Étienne,42,4.94707066497235,2019
03030,Biozat,03,34172,Montpellier,34,5.15760076198094,2019
03043,Broût-Vernet,03,76540,Rouen,76,4.98442716272068,2019
03060,Charmeil,03,35238,Rennes,35,10.4892360422631,2019
03067,Châtelperron,03,35238,Rennes,35,5.14925373134328,2019
03080,Cognat-Lyonne,03,42305,La Talaudière,42,5.03430891761509,2019
03095,Cusset,03,34172,Montpellier,34,2.56296276030202,2019
03095,Cusset,03,42218,Saint-Étienne,42,5.99261913411726,2019
03098,Désertines,03,34172,Montpellier,34,5.05714168086723,2019
03101,Domérat,03,38185,Grenoble,38,4.92711557045047,2019
03101,Domérat,03,76540,Rouen,76,4.99991790888369,2019
03106,Durdat-Larequille,03,38185,Grenoble,38,5.0,2019
03137,Langy,03,42218,Saint-Étienne,42,5.07939084727697,2019
03165,Le Mayet-de-Montagne,03,42218,Saint-Étienne,42,5.0,2019
03181,Montcombroux-les-Mines,03,76575,Saint-Étienne-du-Rouvray,76,4.78962595208586,2019
03185,Montluçon,03,38185,Grenoble,38,3.16998213332183,2019
03185,Montluçon,03,42218,Saint-Étienne,42,0.971351018773477,2019
03185,Montluçon,03,76540,Rouen,76,2.94362440723192,2019
03187,Montoldre,03,42218,Saint-Étienne,42,4.87710185820472,2019
03190,Moulins,03,34172,Montpellier,34,5.50646165614781,2019
03190,Moulins,03,42218,Saint-Étienne,42,3.10760702753858,2019
03254,Saint-Pourçain-sur-Sioule,03,76540,Rouen,76,5.08988592431382,2019
03258,Saint-Rémy-en-Rollat,03,42218,Saint-Étienne,42,4.94027303754267,2019
03304,Vendat,03,35238,Rennes,35,5.0,2019
03309,Le Veurdre,03,76540,Rouen,76,9.75412368958134,2019
03310,Vichy,03,34172,Montpellier,34,8.18623196303222,2019
03310,Vichy,03,35238,Rennes,35,2.75545217443506,2019
03310,Vichy,03,38185,Grenoble,38,2.00849786126698,2019
03310,Vichy,03,42218,Saint-Étienne,42,5.37550072237905,2019
04004,Allemagne-en-Provence,04,34172,Montpellier,34,4.87529011566196,2019
04012,Aubenas-les-Alpes,04,34172,Montpellier,34,4.69337448712333,2019
04019,Barcelonnette,04,38185,Grenoble,38,5.11938418590514,2019
04026,Bellaffaire,04,38185,Grenoble,38,4.59459459459459,2019
04070,Digne-les-Bains,04,34172,Montpellier,34,2.29046175338606,2019
04086,Faucon-de-Barcelonnette,04,34172,Montpellier,34,5.17404502036529,2019
04096,Jausiers,04,38185,Grenoble,38,5.0,2019
04111,Mane,04,34172,Montpellier,34,9.93815303967706,2019
04112,Manosque,04,38185,Grenoble,38,5.71952279917533,2019
04112,Manosque,04,76540,Rouen,76,2.84555662619175,2019
04113,Marcoux,04,34172,Montpellier,34,4.08264351145054,2019
04127,Montfort,04,34172,Montpellier,34,4.31177047828434,2019
04134,La Motte-du-Caire,04,34172,Montpellier,34,15.0818181818182,2019
04143,Oraison,04,34057,Castelnau-le-Lez,34,4.89397637921755,2019
04143,Oraison,04,34172,Montpellier,34,9.7879527584351,2019
04143,Oraison,04,42218,Saint-Étienne,42,5.09039725826501,2019
04143,Oraison,04,76540,Rouen,76,4.7051347046542,2019
04152,Pierrevert,04,35238,Rennes,35,4.98793144107204,2019
04160,Reillanne,04,35238,Rennes,35,5.0559275748974,2019
04217,Thoard,04,34172,Montpellier,34,10.0,2019
05006,L'Argentière-la-Bessée,05,38421,Saint-Martin-d'Hères,38,9.82609463985185,2019
05017,La Bâtie-Neuve,05,34198,Pérols,34,4.83937375566477,2019
05017,La Bâtie-Neuve,05,38185,Grenoble,38,5.12076099453392,2019
05017,La Bâtie-Neuve,05,38421,Saint-Martin-d'Hères,38,4.83937375566477,2019
05023,Briançon,05,34172,Montpellier,34,6.5773514251297,2019
05023,Briançon,05,35238,Rennes,35,7.8980765559643,2019
05023,Briançon,05,38185,Grenoble,38,23.8912810327244,2019
05039,Aubessagne,05,38185,Grenoble,38,5.00743435716531,2019
05040,Chorges,05,38185,Grenoble,38,5.07430061669137,2019
05046,Embrun,05,38185,Grenoble,38,9.84434609320337,2019
05061,Gap,05,34172,Montpellier,34,11.9910745464108,2019
05061,Gap,05,35238,Rennes,35,5.99949789858535,2019
05061,Gap,05,38185,Grenoble,38,36.153614692749,2019
05061,Gap,05,38229,Meylan,38,2.99881323454194,2019
05061,Gap,05,38562,Vizille,38,0.889650662584555,2019
05061,Gap,05,42218,Saint-Étienne,42,4.95540259128193,2019
05063,La Grave,05,38169,Fontaine,38,5.01796725303994,2019
05063,La Grave,05,38185,Grenoble,38,5.01796725303984,2019
05063,La Grave,05,38562,Vizille,38,5.01796725303984,2019
05070,Laragne-Montéglin,05,38421,Saint-Martin-d'Hères,38,4.98406427369045,2019
05079,Le Monêtier-les-Bains,05,34172,Montpellier,34,5.01871649475691,2019
05079,Le Monêtier-les-Bains,05,38185,Grenoble,38,10.0363131631663,2019
05084,Montgardin,05,38185,Grenoble,38,5.0,2019
05090,La Motte-en-Champsaur,05,42218,Saint-Étienne,42,5.07177033492823,2019
