CODGEO,LIBGEO,ILTR1_SEXE1_TRANS_191,ILTR1_SEXE1_TRANS_192,ILTR1_SEXE1_TRANS_193,ILTR1_SEXE1_TRANS_194,ILTR1_SEXE1_TRANS_195,ILTR1_SEXE1_TRANS_196,ILTR1_SEXE2_TRANS_191,ILTR1_SEXE2_TRANS_192,ILTR1_SEXE2_TRANS_193,ILTR1_SEXE2_TRANS_194,ILTR1_SEXE2_TRANS_195,ILTR1_SEXE2_TRANS_196,ILTR2_SEXE1_TRANS_191,ILTR2_SEXE1_TRANS_192,ILTR2_SEXE1_TRANS_193,ILTR2_SEXE1_TRANS_194,ILTR2_SEXE1_TRANS_195,ILTR2_SEXE1_TRANS_196,ILTR2_SEXE2_TRANS_191,ILTR2_SEXE2_TRANS_192,ILTR2_SEXE2_TRANS_193,ILTR2_SEXE2_TRANS_194,ILTR2_SEXE2_TRANS_195,ILTR2_SEXE2_TRANS_196,ILTR3_SEXE1_TRANS_191,ILTR3_SEXE1_TRANS_192,ILTR3_SEXE1_TRANS_193,ILTR3_SEXE1_TRANS_194,ILTR3_SEXE1_TRANS_195,ILTR3_SEXE1_TRANS_196,ILTR3_SEXE2_TRANS_191,ILTR3_SEXE2_TRANS_192,ILTR3_SEXE2_TRANS_193,ILTR3_SEXE2_TRANS_194,ILTR3_SEXE2_TRANS_195,ILTR3_SEXE2_TRANS_196,ILTR4_SEXE1_TRANS_191,ILTR4_SEXE1_TRANS_192,ILTR4_SEXE1_TRANS_193,ILTR4_SEXE1_TRANS_194,ILTR4_SEXE1_TRANS_195,ILTR4_SEXE1_TRANS_196,ILTR4_SEXE2_TRANS_191,ILTR4_SEXE2_TRANS_192,ILTR4_SEXE2_TRANS_193,ILTR4_SEXE2_TRANS_194,ILTR4_SEXE2_TRANS_195,ILTR4_SEXE2_TRANS_196,ILTR5_SEXE1_TRANS_191,ILTR5_SEXE1_TRANS_192,ILTR5_SEXE1_TRANS_193,ILTR5_SEXE1_TRANS_194,ILTR5_SEXE1_TRANS_195,ILTR5_SEXE1_TRANS_196,ILTR5_SEXE2_TRANS_191,ILTR5_SEXE2_TRANS_192,ILTR5_SEXE2_TRANS_193,ILTR5_SEXE2_TRANS_194,ILTR5_SEXE2_TRANS_195,ILTR5_SEXE2_TRANS_196,FiltreCom
34022,Baillargues,40,85,5,15,225,5,60,65,10,0,195,0,5,0,20,45,1120,45,0,0,0,15,1040,80,5,0,0,5,120,0,0,0,0,0,55,10,0,5,0,0,70,25,0,5,0,0,20,20,0,0,0,0,0,5,0,0,0,0,0,0,true
34027,Beaulieu,20.4216677111,10.8343197285,0,0,64.8814714836,5.5293607691,42.5280787849,11.3172509754,5.2823791443,0,37.0428690665,0,0,0,0,15.8581694357,349.9207610508,0,0,0,0,0,327.4193550808,5.5293607691,0,0,0,5.0464295222,34.6693831949,5.5293607691,0,0,0,0,37.2456996406,0,0,0,0,0,20.904598958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0464295222,0,true
34057,Castelnau-le-Lez,132.5938497561,143.8541821215,94.3936875233,72.1003521532,724.382862002,61.1444081912,242.5052460995,188.1419845927,42.3293020534,0,828.7622765325,114.5461275772,1.1931697592,53.2786772065,307.8427784551,218.5540524049,2347.8322463983,405.9570129539,4.5012724072,22.7435066055,179.462132111,57.4081795315,2563.6795385308,770.9298904362,0,6.6740224782,0.9391359042,0,228.2999951687,20.2150321371,0,1.553666223,0,0,66.5413753755,10.2374459553,6.4208784121,2.6935123204,0,4.8100625749,129.0452419343,70.5852819874,2.1219833469,5.6126676699,0,0,25.4224776173,20.1040150414,0,0,0,0,8.105220821,0,0,0,0,0,1.1931697592,0,true
34058,Castries,46.5264091908,41.0330333596,15.5120834591,0,220.3558554876,0,133.0472983085,62.565751849,20.6306661758,4.998140543,204.9484050641,10.3869672678,0,0,5.1251161912,56.6463582133,873.7280974291,15.5055499846,0,0,4.998140543,5.3888267248,910.7044207688,36.2761768084,0,0,0,0,111.6547802739,0,0,0,0,0,66.7759865541,0,0,0,0,0,25.5082026772,0,0,5.1251161912,0,0,36.9240400492,10.1232567343,0,0,0,0,0,0,0,0,0,0,0,0,true
34077,Clapiers,69.7415762318,9.1729735448,9.6739728625,4.6670700056,121.2800614157,9.1843036334,55.7111309549,46.2213899886,13.8513736389,0,121.7927960748,9.5128063962,0,18.6740445997,116.2908646641,65.0625718185,742.8633343273,4.3503025841,0,9.1729735448,65.0568001209,0,733.3848235979,32.3642517723,0,0,0,0,9.1729735448,9.8409039062,0,0,0,0,41.8766529156,0,4.8340010493,9.6680020986,0,0,28.6818795496,9.3399045885,4.8340010493,0,0,0,4.8340010493,4.8340010493,0,0,0,0,0,0,0,0,0,0,0,0,true
34087,Cournonsec,24.3171333385,0,5.4332834599,10.0794463334,154.2181375574,0,20.7600561426,5.0397231667,0,0,103.9350024598,0,0,0,0,21.1541727899,566.985163737,10.2725278185,0,5.4332834599,0,0,575.2449184261,10.2725278185,0,0,0,0,15.8988927635,0,0,0,0,0,0,5.4332834599,0,0,0,0,25.3988216931,5.4332834599,0,0,0,0,5.4332834599,0,0,0,5.2328046518,0,0,0,0,0,0,0,0,0,true
34088,Cournonterral,15.4734742345,41.3695778584,5.0516266641,5.1789020501,154.4936030321,10.3586057428,56.7165586486,52.048361305,15.6663765523,0,133.9605938787,0,0,5.2437372511,5.3093841306,10.5531213817,1091.5916917487,10.2937705418,0,0,10.4882861807,0,1047.3429864883,72.5094485928,0,0,0,0,41.6297502886,0,0,0,0,0,10.5531213817,0,0,0,0,5.1148684917,20.7172114856,0,0,0,0,0,0,10.4874745022,0,0,0,0,0,0,0,0,0,0,0,0,true
34090,Le Crès,45,15,0,10,230,10,100,55,0,5,220,5,0,10,70,100,1125,95,5,0,45,10,1380,135,0,0,0,0,85,0,0,0,0,0,50,0,0,0,0,5,35,25,10,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,10,true
34095,Fabrègues,44.6652917004,35.251061193,35.4791415474,15.3013705111,249.8303910445,0,119.6618412316,70.1066684358,20.1838690362,0,178.5267204833,0,0,0,10.1519139567,90.1587464084,1077.777558344,25.0842274151,0,0,5.1374064332,15.2893203898,1033.8209257444,54.6914370474,0,0,0,0,29.8558771517,0,0,0,0,0,35.1252925833,5.0145075235,0,0,0,4.8945486463,29.8529371192,0,0,0,0,0,14.9265037259,4.8945486463,0,0,0,0,0,0,0,0,0,5.1374064332,0,0,true
34116,Grabels,63.9656997853,38.8669185509,25.0011129099,14.7231751248,197.4258821039,19.3032289007,112.3663200323,88.4956311094,25.2850126572,20.5530811822,176.7088008522,0,4.7056211605,10.1493393199,166.6973090494,73.2740065865,1220.4264178827,77.485970106,15.0968481501,49.6605065848,93.9236475057,4.9475088302,1318.4918604893,145.7960539685,0,0,0,0,33.5395206767,9.7725582852,0,0,0,0,24.5050593904,19.5451165705,4.825049455,0,4.825049455,0,29.3301088454,14.8456345,9.411242321,0,0,0,14.6037468303,9.7725582852,0,0,0,0,10.1461524295,0,0,0,0,0,0,0,true
34120,Jacou,49.9504956288,24.9955134459,14.8920042063,9.9015268959,129.8069066959,5.03132709,54.7791927819,34.9369108226,4.9506015497,0,159.8788223127,9.9414026566,0,4.9506015497,34.8571645812,79.8564084378,986.7445627295,49.7906661815,0,4.910725789,10.0221281969,4.910725789,1129.2629500871,69.9548736114,0,0,0,0,64.8418496126,0,0,0,0,0,19.9638572794,5.03132709,0,0,0,0,9.9015268959,9.9414026566,0,0,0,0,4.9506015497,19.9632044277,0,0,0,0,0,4.9506015497,0,0,0,0,0,0,true
34123,Juvignac,55.6936476878,39.9863819579,13.6598991484,3.2638640145,306.565219879,17.0329145616,92.2138080372,38.534651065,6.2342945501,0,265.0696964392,28.1720002841,4.6770110766,13.3023642112,53.2859250802,182.3567467987,1544.2488966588,122.0229072747,1.0879546715,13.2185032672,57.4411265156,10.104483985,1622.8761116657,271.5397544042,0,0,0,0,46.5369779368,5.0023187818,2.175909343,0,0,0,4.6770110766,7.1781128101,2.175909343,1.0879546715,0,0,66.4688182048,16.05169751,0,3.589056405,1.0879546715,0,11.2047391056,16.0282888242,0,0,1.0879546715,0,0,0,0,0,0,0,0,2.175909343,true
34129,Lattes,108.9709444092,99.2805793505,44.3998192091,63.4060205496,705.4748322206,27.1928269537,150.4574090312,92.6360864067,29.9402406177,26.0887176953,772.799866104,59.2418606182,1.2684752721,22.6534428305,120.6252338381,177.8972516466,1987.603749859,180.1500023881,9.2327394554,4.5309584633,69.8167699581,12.7449814956,2158.203947357,301.2532983585,0,0,0,0,158.0152983565,0,0,0,0,0,105.9997159893,11.6282047609,2.7525331071,6.0907932279,0,0,136.5701093318,33.1268956822,0,0,0,0,37.9061845882,13.6397051205,0,4.6851537898,0,0,0,0,1.2684752721,0,0,0,0,0,true
34134,Lavérune,15.1044046796,9.9978647841,0,4.9989323921,74.785508338,0,24.9963391667,25.1549421736,0,9.892507414,40.1545505856,0,0,0,10.2119577119,64.7821153703,414.3061627715,25.3690410766,0,0,4.9989323921,0,591.0817764162,24.9957840394,0,0,0,0,35.0468885481,0,0,0,0,0,4.9989323921,0,0,0,0,0,34.8888465807,5.105978856,0,0,0,0,4.9989323921,0,0,0,0,0,0,0,0,0,0,0,0,0,true
34164,Montaud,5.3122320106,5.3744200904,0,0,36.4515584462,5.1900062825,0,5.2507635168,0,0,5.0705927676,0,0,0,0,5.3122320106,141.415293328,0,0,0,0,0,204.9205291295,0,0,0,0,0,15.6915333161,0,0,0,0,0,5.1299520777,0,0,0,0,0,0,0,0,0,0,0,5.3122320106,0,0,0,0,0,0,0,0,0,0,0,0,0,true
34169,Montferrier-sur-Lez,30.4255220915,15.212894414,0,15.2123609867,116.6309457721,15.2120942888,30.4249886817,20.2833702439,5.0710092502,0,96.3471754937,10.1418851462,0,0,30.4253887408,25.3547795567,567.941434461,5.0710092502,0,0,0,0,491.8774958466,15.2123609937,0,0,0,0,30.424855331,0,0,0,0,0,0,0,5.070875896,0,0,0,10.1413517435,25.3542461364,0,0,0,0,10.1422852158,15.2123609867,0,0,0,0,0,0,0,0,0,0,5.0706091981,5.070875896,true
