CODGEO,LIBGEO,ILTR1_SEXE1_TRANS_191,ILTR1_SEXE1_TRANS_192,ILTR1_SEXE1_TRANS_193,ILTR1_SEXE1_TRANS_194,ILTR1_SEXE1_TRANS_195,ILTR1_SEXE1_TRANS_196,ILTR1_SEXE2_TRANS_191,ILTR1_SEXE2_TRANS_192,ILTR1_SEXE2_TRANS_193,ILTR1_SEXE2_TRANS_194,ILTR1_SEXE2_TRANS_195,ILTR1_SEXE2_TRANS_196,ILTR2_SEXE1_TRANS_191,ILTR2_SEXE1_TRANS_192,ILTR2_SEXE1_TRANS_193,ILTR2_SEXE1_TRANS_194,ILTR2_SEXE1_TRANS_195,ILTR2_SEXE1_TRANS_196,ILTR2_SEXE2_TRANS_191,ILTR2_SEXE2_TRANS_192,ILTR2_SEXE2_TRANS_193,ILTR2_SEXE2_TRANS_194,ILTR2_SEXE2_TRANS_195,ILTR2_SEXE2_TRANS_196,ILTR3_SEXE1_TRANS_191,ILTR3_SEXE1_TRANS_192,ILTR3_SEXE1_TRANS_193,ILTR3_SEXE1_TRANS_194,ILTR3_SEXE1_TRANS_195,ILTR3_SEXE1_TRANS_196,ILTR3_SEXE2_TRANS_191,ILTR3_SEXE2_TRANS_192,ILTR3_SEXE2_TRANS_193,ILTR3_SEXE2_TRANS_194,ILTR3_SEXE2_TRANS_195,ILTR3_SEXE2_TRANS_196,ILTR4_SEXE1_TRANS_191,ILTR4_SEXE1_TRANS_192,ILTR4_SEXE1_TRANS_193,ILTR4_SEXE1_TRANS_194,ILTR4_SEXE1_TRANS_195,ILTR4_SEXE1_TRANS_196,ILTR4_SEXE2_TRANS_191,ILTR4_SEXE2_TRANS_192,ILTR4_SEXE2_TRANS_193,ILTR4_SEXE2_TRANS_194,ILTR4_SEXE2_TRANS_195,ILTR4_SEXE2_TRANS_196,ILTR5_SEXE1_TRANS_191,ILTR5_SEXE1_TRANS_192,ILTR5_SEXE1_TRANS_193,ILTR5_SEXE1_TRANS_194,ILTR5_SEXE1_TRANS_195,ILTR5_SEXE1_TRANS_196,ILTR5_SEXE2_TRANS_191,ILTR5_SEXE2_TRANS_192,ILTR5_SEXE2_TRANS_193,ILTR5_SEXE2_TRANS_194,ILTR5_SEXE2_TRANS_195,ILTR5_SEXE2_TRANS_196
34022,Baillargues,40.9083516448,87.6539689247,5.1286270993,14.959971812,229.2956039845,5.1286270993,60.883407246,66.6694487012,10.01734339,0,197.6930074429,0,5.008671695,0,20.4478055756,45.4518344597,1134.2903370874,45.1411917635,0,0,0,15.1459704893,1057.5371280786,80.8058961204,5.0682945245,0,0,5.1286270993,122.5689870124,0,0,0,0,0,55.9947077535,10.0684498389,0,5.008671695,0,0,70.6103522395,25.2839706797,0,5.0682945245,0,0,20.2738878432,20.2753157828,0,0,0,0,0,4.9497502616,0,0,0,0,0,0
34027,Beaulieu,20.2800173614,11.1013858521,0,0,66.321368339,5.7140953726,43.1112853835,11.8339022506,5.3352804391,0,37.4977620952,0,0,0,0,16.0309547859,354.5034736247,0,0,0,0,0,330.9510962328,5.7140953726,0,0,0,4.9815789741,33.9256367821,5.7140953726,0,0,0,0,37.7760049443,0,0,0,0,0,21.01253376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9815789741,0
34057,Castelnau-le-Lez,165.2004687362,208.1318720417,129.5962681967,102.417502949,692.6203119243,71.059384053,259.6710846254,227.2826775798,79.1529839435,0,873.7515335252,121.0140711566,1.6586958166,66.8954741048,481.3790088543,251.563911144,2477.2420024806,394.9157090752,12.4385890865,52.4187904616,297.8848478062,43.3826415071,2855.6814917504,817.6962134183,0,8.5751329762,2.541584724,0,273.5587895951,28.4119643501,0,0,1.2937676094,0,89.5121021061,8.6895364649,6.4580024722,0,0,6.3821741878,154.6499881836,89.584440353,1.270792362,7.4718122731,0,0,24.6101237593,29.6783177094,0,0,0,0,0,1.2316410611,0,0,0,0,1.6586958166,0
34058,Castries,47.4098046071,41.6560651956,15.8108427656,0,223.5870444012,0,134.8847213767,64.0341224942,20.9944931145,5.0064169458,207.9152376977,10.6121378444,0,0,5.1987049211,57.6072573565,887.8346119899,15.7957881934,0,0,5.0064169458,5.6057208987,925.8566753279,37.0123947648,0,0,0,0,112.7415121366,0,0,0,0,0,67.826876962,0,0,0,0,0,25.8231198236,0,0,5.1987049211,0,0,38.0036601231,10.2051218669,0,0,0,0,0,0,0,0,0,0,0,0
34077,Clapiers,72.3406215218,9.5854689733,9.8303065897,4.8321534237,125.5784288573,9.5861193559,57.8308673882,48.0869948426,14.4182727796,0,125.8281293104,9.7493857649,0,19.3299919015,120.584457257,67.4993092484,771.0351355268,4.6716669008,0,9.5833860227,67.4979306488,0,761.3405847414,33.6673438564,0,0,0,0,9.5833860227,9.9126056211,0,0,0,0,43.4166830684,0,4.9144524551,9.8289049102,0,0,29.3248965539,9.665685054,4.9144524551,0,0,0,4.9144524551,4.9144524551,0,0,0,0,0,0,0,0,0,0,0,0
34087,Cournonsec,13.9275519185,4.5325043969,0,0,88.6182420599,0,9.8990111599,19.2822537567,4.6946243825,0,82.0394075047,0,0,0,5.3449015668,19.288259925,583.2596825811,25.5552965063,0,0,5.0364680352,0,686.3267212556,13.9217531619,0,0,0,0,14.5936355424,0,0,0,0,0,5.0364680352,0,0,0,0,0,24.5347047178,0,0,0,0,0,14.101476829,0,0,0,0,0,0,0,0,0,0,0,0,0
34088,Cournonterral,15.7867379583,42.2619055234,5.1000886465,5.2943008595,157.5096391219,10.5904504658,57.8562121975,53.34245705,16.0826268061,0,136.6046970974,0,0,5.3941629733,5.4959087054,10.8900716787,1115.423001858,10.4905883519,0,0,10.7902095649,0,1071.3829496233,74.131339385,0,0,0,0,42.6633066943,0,0,0,0,0,10.8900716787,0,0,0,0,5.1962874925,21.1809009316,0,0,0,0,0,0,10.7883259466,0,0,0,0,0,0,0,0,0,0,0,0
34090,Le Crès,44.9393165399,14.8067755856,0,9.8550301632,230.3491199017,9.9021656427,99.9177259343,54.7911926384,0,4.9508605569,219.9724071479,5.0936175512,0,9.9959920729,69.8336794397,100.1062635799,1124.0138401851,95.1100796374,4.9508605569,0,44.9846569349,9.996440834,1382.9578489327,135.1456541706,0,0,0,0,85.0660417856,0,0,0,0,0,50.126769026,0,0,0,0,4.9508605569,34.7044887724,24.9904289434,9.996440834,0,0,0,5.0455802771,19.9461907173,0,0,0,0,0,0,0,0,0,0,0,9.9977871575
34095,Fabrègues,44.9199903904,35.1904509576,35.3082265588,15.1777653056,250.4098425845,0,120.0555471963,70.1909578598,20.1319582572,0,179.6159506034,0,0,0,10.0961603698,90.2596045957,1078.4710954349,25.0905884094,0,0,5.0786289371,15.1747893069,1036.4293094617,54.954327076,0,0,0,0,29.9866598552,0,0,0,0,0,35.1286272734,5.0175314326,0,0,0,4.9571689503,29.985924833,0,0,0,0,0,14.9929668378,4.9571689503,0,0,0,0,0,0,0,0,0,5.0786289371,0,0
34116,Grabels,64.4842589673,39.4302725694,24.9986571002,14.8619516488,198.6953554424,19.6517392656,113.680066876,89.24163641,25.1310394723,20.2726800558,178.3510648061,0,4.8520307292,10.073702614,168.3426633363,74.131568299,1232.648222838,78.7368475169,15.0479213801,49.8191430259,94.4594426471,4.9742187661,1331.695414472,147.890244646,0,0,0,0,34.2685456091,9.8869636513,0,0,0,0,24.7512231135,19.7739273025,4.9127448852,0,4.9127448852,0,29.6639679987,14.9234255298,9.7040614583,0,0,0,14.8012374928,9.8869636513,0,0,0,0,10.072923757,0,0,0,0,0,0,0
