metropole,code_commune,nom_commune,annee,lieu_travail,sexe,mode_transport,valeur
Montpellier,34022,Baillargues,2020,Commune de résidence,Hommes,Pas de transport,40.0
Montpellier,34027,Beaulieu,2020,Commune de résidence,Hommes,Pas de transport,20.4216677111
Montpellier,34057,Castelnau-le-Lez,2020,Commune de résidence,Hommes,Pas de transport,132.5938497561
Montpellier,34058,Castries,2020,Commune de résidence,Hommes,Pas de transport,46.5264091908
Montpellier,34077,Clapiers,2020,Commune de résidence,Hommes,Pas de transport,69.7415762318
Montpellier,34087,Cournonsec,2020,Commune de résidence,Hommes,Pas de transport,24.3171333385
Montpellier,34088,Cournonterral,2020,Commune de résidence,Hommes,Pas de transport,15.4734742345
Montpellier,34090,Le Crès,2020,Commune de résidence,Hommes,Pas de transport,45.0
Montpellier,34095,Fabrègues,2020,Commune de résidence,Hommes,Pas de transport,44.6652917004
Montpellier,34116,Grabels,2020,Commune de résidence,Hommes,Pas de transport,63.9656997853
Montpellier,34120,Jacou,2020,Commune de résidence,Hommes,Pas de transport,49.9504956288
Montpellier,34123,Juvignac,2020,Commune de résidence,Hommes,Pas de transport,55.6936476878
Montpellier,34129,Lattes,2020,Commune de résidence,Hommes,Pas de transport,108.9709444092
Montpellier,34134,Lavérune,2020,Commune de résidence,Hommes,Pas de transport,15.1044046796
Montpellier,34164,Montaud,2020,Commune de résidence,Hommes,Pas de transport,5.3122320106
Montpellier,34169,Montferrier-sur-Lez,2020,Commune de résidence,Hommes,Pas de transport,30.4255220915
Montpellier,34172,Montpellier,2020,Commune de résidence,Hommes,Pas de transport,1808.8113355373
Montpellier,34179,Murviel-lès-Montpellier,2020,Commune de résidence,Hommes,Pas de transport,15.1203114129
Montpellier,34198,Pérols,2020,Commune de résidence,Hommes,Pas de transport,26.2081160849
Montpellier,34202,Pignan,2020,Commune de résidence,Hommes,Pas de transport,35.332641766
Montpellier,34217,Prades-le-Lez,2020,Commune de résidence,Hommes,Pas de transport,23.9805920922
Montpellier,34227,Restinclières,2020,Commune de résidence,Hommes,Pas de transport,36.3159347548
Montpellier,34244,Saint-Brès,2020,Commune de résidence,Hommes,Pas de transport,28.7784145333
Montpellier,34249,Saint-Drézéry,2020,Commune de résidence,Hommes,Pas de transport,25.0
Montpellier,34256,Saint-Geniès-des-Mourgues,2020,Commune de résidence,Hommes,Pas de transport,5.5849045098
Montpellier,34259,Saint-Georges-d'Orques,2020,Commune de résidence,Hommes,Pas de transport,40.0
Montpellier,34270,Saint-Jean-de-Védas,2020,Commune de résidence,Hommes,Pas de transport,93.2286134166
Montpellier,34295,Saussan,2020,Commune de résidence,Hommes,Pas de transport,5.2338218621
Montpellier,34307,Sussargues,2020,Commune de résidence,Hommes,Pas de transport,14.9869241492
Montpellier,34327,Vendargues,2020,Commune de résidence,Hommes,Pas de transport,53.4863405872
Montpellier,34337,Villeneuve-lès-Maguelone,2020,Commune de résidence,Hommes,Pas de transport,95.2210717858
Rennes,35001,Acigné,2020,Commune de résidence,Hommes,Pas de transport,93.5866615498
Rennes,35022,Bécherel,2020,Commune de résidence,Hommes,Pas de transport,15.0
Rennes,35024,Betton,2020,Commune de résidence,Hommes,Pas de transport,81.929009043
Rennes,35032,Bourgbarré,2020,Commune de résidence,Hommes,Pas de transport,26.9647251514
Rennes,35039,Brécé,2020,Commune de résidence,Hommes,Pas de transport,0.0
Rennes,35047,Bruz,2020,Commune de résidence,Hommes,Pas de transport,86.8848934523
Rennes,35051,Cesson-Sévigné,2020,Commune de résidence,Hommes,Pas de transport,139.8677155952
Rennes,35055,Chantepie,2020,Commune de résidence,Hommes,Pas de transport,29.7337797053
Rennes,35058,La Chapelle-Chaussée,2020,Commune de résidence,Hommes,Pas de transport,25.7375973165
Rennes,35059,La Chapelle-des-Fougeretz,2020,Commune de résidence,Hommes,Pas de transport,20.0
