"commune_code","nom","millesimes_1","pourcent_artif_1","surface_artif_1","millesimes_2","pourcent_artif_2","surface_artif_2","flux_surface_1_2","flux_percent_1_2","departement_code","region_code","epci_code","scot_code","commune_surface"
"01001","L'Abergement-Clémenciat","2018",6.6016815482602,1031178.307,"2021",6.61357905108382,1033036.6891,1858.3821,0.0118975028236186,"01","84","200069193","6",15619934.0949997
"01002","L'Abergement-de-Varey","2018",3.66461123106332,336245.642,"2021",3.70097146598955,339581.8678,3336.2258,0.0363602349262369,"01","84","240100883","221",9175479.21999998
"01004","Ambérieu-en-Bugey","2018",33.4170690281373,8190133.5614,"2021",33.4905238685872,8208136.4854,18002.924,0.0734548404499336,"01","84","240100883","221",24508832.7600002
"01005","Ambérieux-en-Dombes","2018",8.63585885510462,1382964.122,"2021",8.73149346516247,1398279.2443,15315.1223,0.0956346100578482,"01","84","200042497","5",16014204.7849999
"01006","Ambléon","2018",3.09669979641857,186757.5095,"2021",3.09669960075813,186757.4977,-0.0118,-1.95660445623247e-07,"01","84","200040350","10319",6030856.12999977
"01007","Ambronay","2018",15.1466494789101,5097137.7019,"2021",15.3491875583753,5165295.6455,68157.9436,0.202538079465207,"01","84","240100883","221",33651915.62
"01008","Ambutrix","2018",10.6002499662205,548525.113,"2021",10.7300329377881,555240.9187,6715.8057,0.129782971567556,"01","84","240100883","221",5174643.18999993
"01009","Andert-et-Condon","2018",7.44931750100665,521134.8834,"2021",7.49203437733812,524123.245,2988.3616,0.042716876331478,"01","84","200040350","10319",6995739.99000013
"01010","Anglefort","2018",8.00686122544322,2362711.2848,"2021",8.04523175928709,2374033.8856,11322.6008,0.038370533843862,"01","84","200070852","10179",29508582.9300009
"01011","Apremont","2018",3.08618621569299,464415.4093,"2021",3.58722515870158,539812.741,75397.3317,0.501038943008587,"01","84","200042935","10332",15048197.8999999
"01012","Aranc","2018",3.31329369378012,718272.0217,"2021",3.60371810012074,781231.6458,62959.6241,0.290424406340617,"01","84","200042935","10332",21678489.385
"01013","Arandas","2018",2.30843427205938,323902.1172,"2021",2.44761275377198,343430.5939,19528.4767,0.139178481712601,"01","84","240100883","221",14031247.1149999
"01014","Arbent","2018",12.2997456591114,2906559.1665,"2021",12.4379098208939,2939208.81,32649.6435,0.13816416178248,"01","84","200042935","10332",23631050.9750003
"01015","Arboys en Bugey","2018",4.5002125084642,1015716.2734,"2021",4.60723357119371,1039871.3627,24155.0893,0.107021062729515,"01","84","200040350","10319",22570406.8749997
"01016","Arbigny","2018",4.12040038764112,721723.0829,"2021",4.15150418971937,727171.1777,5448.0948,0.031103802078249,"01","84","200071371","3",17515848.3400002
"01017","Argis","2018",7.77026531847076,606593.0572,"2021",7.77026563871286,606593.0822,0.025,3.20242095064316e-07,"01","84","240100883","221",7806593.88499982
"01019","Armix","2018",1.46041936397151,101613.6491,"2021",1.46041936397151,101613.6491,0,0,"01","84","200040350","10319",6957840.43999998
"01021","Ars-sur-Formans","2018",16.0511841110549,884572.5526,"2021",15.8753140677383,874880.4444,-9692.1082,-0.175870043316632,"01","84","200042497","5",5510948.88999976
"01022","Artemare","2018",29.6504837753307,983706.6446,"2021",29.6898148025419,985011.5202,1304.8756,0.0393310272112259,"01","84","200040350","10319",3317674.855
"01023","Asnières-sur-Saône","2018",2.96669710422202,138253.925,"2021",2.96669710422202,138253.925,0,0,"01","84","200071371","3",4660196.85000014
"01024","Attignat","2018",16.8179197673504,3180780.975,"2021",17.0839444496929,3231094.3467,50313.3717,0.266024682342511,"01","84","200071751","2",18913046.4349999
"01025","Bâgé-Dommartin","2018",10.5054067887153,5979704.189,"2021",10.6443836603122,6058810.1768,79105.9878,0.138976871596908,"01","84","200071371","3",56920253.6299999
"01026","Bâgé-le-Châtel","2018",66.8719574612742,585215.4546,"2021",66.8719574498473,585215.4545,-0.0001,-1.14269056439298e-08,"01","84","200071371","3",875128.345000071
"01027","Balan","2018",34.5261653427114,6203210.7619,"2021",34.544401150866,6206487.1339,3276.372,0.0182358081545431,"01","84","240100610","221",17966694.8250003
"01028","Baneins","2018",8.12808744858355,736049.5876,"2021",8.24751205942125,746864.2394,10814.6518,0.119424610837703,"01","84","200069193","6",9055630.76499956
"01029","Beaupont","2018",11.4431198708971,1617245.9424,"2021",11.3411984080027,1602841.4728,-14404.4696,-0.101921462894431,"01","84","200071751","2",14132910.9600004
"01030","Beauregard","2018",33.9647344952715,332878.7202,"2021",33.9647460148379,332878.8331,0.1129,1.15195664136536e-05,"01","84","200042497","5",980071.609999903
"01031","Bellignat","2018",28.7950216853908,2248022.5918,"2021",28.9991929059397,2263962.2053,15939.6135,0.204171220548876,"01","84","200042935","10332",7806983.5000004
"01032","Béligneux","2018",34.0197244987645,4536738.5936,"2021",34.1049754169209,4548107.3256,11368.732,0.0852509181564614,"01","84","240100610","221",13335612.3849997
"01033","Valserhône","2018",13.7890835075342,8654051.9481,"2021",13.8523558926932,8693761.8032,39709.8551,0.0632723851589798,"01","84","240100891","4037",62760167.8049998
"01034","Belley","2018",26.0799817036054,5870874.1053,"2021",26.242586194045,5907478.0609,36603.9556,0.162604490439637,"01","84","200040350","10319",22511036.135
"01035","Belleydoux","2018",3.75518939948472,668086.4879,"2021",3.75923739341603,668806.6673,720.1794,0.00404799393130695,"01","84","200042935","10332",17791019.7550002
