FID,date_maj,the_geom,code_no2,code_o3,code_pm10,code_pm25,code_qual,code_so2,code_zone,coul_qual,date_dif,date_ech,epsg_reg,lib_qual,lib_zone,source,type_zone,x_reg,x_wgs84,y_reg,y_wgs84
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eb3,2026-06-29T14:09:14.157Z,POINT (271371.5167217403 6290952.441210802),1,2,1,1,2,1,95331,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Lassy,Airparif,commune,607401.1661,2.4378,2455200.3483,49.0947
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eb2,2026-06-29T14:09:14.157Z,POINT (306322.38868113206 6283827.294397858),1,2,1,1,2,1,77273,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Marchémoret,Airparif,commune,630371.6652,2.7517,2450609.3651,49.0528
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eb1,2026-06-29T14:09:14.157Z,POINT (298277.12014307 6284050.448214001),1,2,1,1,2,1,77153,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Dammartin-En-Goële,Airparif,commune,625084.9005,2.6795,2450730.1171,49.0541
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eb0,2026-06-29T14:09:14.157Z,POINT (332290.3066352977 6283869.620953484),1,2,1,1,2,1,77367,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Le Plessis-Placy,Airparif,commune,647433.4093,2.985,2450752.3916,49.0531
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eaf,2026-06-29T14:09:14.157Z,POINT (219926.55623207983 6279529.395850371),1,2,1,1,2,1,95388,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Menucourt,Airparif,commune,573592.0639,1.9756,2447773.8109,49.0275
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eae,2026-06-29T14:09:14.157Z,POINT (183668.29276009963 6283549.923519557),1,2,1,1,2,1,78437,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Mousseaux-Sur-Seine,Airparif,commune,549780.2794,1.6499,2450567.5288,49.0512
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ead,2026-06-29T14:09:14.157Z,POINT (336723.2208056083 6286757.901697614),1,2,1,1,2,1,77283,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,May-En-Multien,Airparif,commune,650329.4108,3.0248,2452669.0264,49.0701
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eac,2026-06-29T14:09:14.157Z,POINT (290250.1496595829 6286772.282315205),1,2,1,1,2,1,77322,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Moussy-Le-Neuf,Airparif,commune,619804.781,2.6074,2452492.4779,49.0701
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eab,2026-06-29T14:09:14.157Z,POINT (313616.61156564153 6286791.9054436805),1,2,1,1,2,1,77344,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Oissery,Airparif,commune,635152.4384,2.8173,2452578.5671,49.0703
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7eaa,2026-06-29T14:09:14.157Z,POINT (324559.6054187369 6286006.90791717),1,2,1,1,2,1,77380,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Puisieux,Airparif,commune,642343.7857,2.9156,2452112.8233,49.0656
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea9,2026-06-29T14:09:14.157Z,POINT (329301.34662054526 6287692.534570243),1,2,1,1,2,1,77526,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Vincy-Man½Uvre,Airparif,commune,645449.7882,2.9582,2453240.5268,49.0756
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea8,2026-06-29T14:09:14.157Z,POINT (203363.8301777751 6186702.481694379),1,2,1,1,2,1,78472,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Orsonville,Airparif,commune,562307.0618,1.8268,2386668.4505,48.4777
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea7,2026-06-29T14:09:14.157Z,POINT (360680.66876697977 6218599.722659811),1,2,1,1,2,1,77033,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Bezalles,Airparif,commune,666579.4347,3.24,2408018.7768,48.6673
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea6,2026-06-29T14:09:14.157Z,POINT (255368.0705283905 6296765.419281775),1,2,1,1,2,1,95452,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Nointel,Airparif,commune,596896.6401,2.294,2459000.6214,49.1289
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea5,2026-06-29T14:09:14.157Z,POINT (370019.52224249294 6248074.187702824),1,2,1,1,2,1,77030,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Bellot,Airparif,commune,672517.1167,3.3239,2427512.7858,48.8419
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea4,2026-06-29T14:09:14.157Z,POINT (286044.62842801027 6142992.092516074),1,2,1,1,2,1,77342,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Obsonville,Airparif,commune,617323.0928,2.5696,2357545.5682,48.2168
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea3,2026-06-29T14:09:14.157Z,POINT (366580.46133671905 6253902.708768166),1,2,1,1,2,1,77398,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Sablonnières,Airparif,commune,670201.8017,3.293,2431317.3071,48.8763
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea2,2026-06-29T14:09:14.157Z,POINT (347770.408552565 6180367.6109389225),1,2,1,1,2,1,77167,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Égligny,Airparif,commune,658287.0321,3.1241,2382639.5988,48.44
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea1,2026-06-29T14:09:14.157Z,POINT (322830.909200248 6267544.615541622),1,2,1,1,2,1,77284,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Meaux,Airparif,commune,641294.9252,2.9,2439999.4806,48.9569
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7ea0,2026-06-29T14:09:14.157Z,POINT (254574.27469711224 6257089.384933291),1,2,1,1,2,1,92044,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Levallois-Perret,Airparif,commune,596359.1674,2.2869,2432986.4669,48.8952
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7e9f,2026-06-29T14:09:14.157Z,POINT (253600.79111647856 6225466.121147514),1,2,1,1,2,1,91136,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Champlan,Airparif,commune,595701.924,2.2781,2412168.5342,48.708
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7e9e,2026-06-29T14:09:14.157Z,POINT (356460.38495125837 6187402.788976797),1,2,1,1,2,1,77355,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Paroy,Airparif,commune,664012.9333,3.2021,2387361.6578,48.4819
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7e9d,2026-06-29T14:09:14.157Z,POINT (248092.62513027224 6226606.033658926),1,2,1,1,2,1,91477,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Palaiseau,Airparif,commune,592059.642,2.2287,2412924.1498,48.7148
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7e9c,2026-06-29T14:09:14.157Z,POINT (281698.0941463864 6154879.044533838),1,2,1,1,2,1,77003,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Amponville,Airparif,commune,614401.5367,2.5305,2365445.4361,48.2879
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7e9b,2026-06-29T14:09:14.157Z,POINT (367815.81990122487 6238943.332815062),1,2,1,1,2,1,77182,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,La Ferté-Gaucher,Airparif,commune,671137.288,3.3041,2421485.6251,48.7879
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7e9a,2026-06-29T14:09:14.157Z,POINT (231074.95073429044 6236440.776596489),1,2,1,1,2,1,78297,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Guyancourt,Airparif,commune,580826.524,2.0758,2419432.2211,48.7731
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7e99,2026-06-29T14:09:14.157Z,POINT (220338.3555808548 6304441.961830673),1,2,1,1,2,1,95447,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Neuilly-En-Vexin,Airparif,commune,573937.0261,1.9793,2464079.031,49.174
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-7e98,2026-06-29T14:09:14.157Z,POINT (360920.313830779 6243121.213871624),1,2,1,1,2,1,77432,#50CCAA,2026-06-29T02:00:00Z,2026-06-29,2154,Moyen,Saint-Rémy-La-Vanne,Airparif,commune,666551.9783,3.2422,2424181.6954,48.8126
