DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Collecte,Transport,Dépollution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - STEU,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,D201.0,Verif_D201.0,CalculAuto_D201.0,D202.0,Verif_D202.0,CalculAuto_D202.0,D203.0,Verif_D203.0,CalculAuto_D203.0,D204.0,Verif_D204.0,CalculAuto_D204.0,P201.1,Verif_P201.1,CalculAuto_P201.1,P202.2B,Verif_P202.2B,CalculAuto_P202.2B,P203.3,Verif_P203.3,CalculAuto_P203.3,P204.3,Verif_P204.3,CalculAuto_P204.3,P205.3,Verif_P205.3,CalculAuto_P205.3,P206.3,Verif_P206.3,CalculAuto_P206.3,P207.0,Verif_P207.0,CalculAuto_P207.0,P251.1,Verif_P251.1,CalculAuto_P251.1,P252.2,Verif_P252.2,CalculAuto_P252.2,P253.2,Verif_P253.2,CalculAuto_P253.2,P254.3,Verif_P254.3,CalculAuto_P254.3,P255.3,Verif_P255.3,CalculAuto_P255.3,P256.2,Verif_P256.2,CalculAuto_P256.2,P257.0,Verif_P257.0,CalculAuto_P257.0,P258.1,Verif_P258.1,CalculAuto_P258.1,VP.056,VP.177,VP.190,VP.178,VP.191,VP.179,VP.213,VP.219,DC.184,DC.195,VP.183,VP.182,VP.119,VP.185,VP.003,VP.152,VP.077,VP.140,VP.141,VP.228,VP.229,VP.124,VP.217,VP.218,VP.068,VP.186,VP.176,VP.209,VP.210,VP.211,VP.023,VP.046,VP.199,VP.200,VP.158,VP.159,VP.160,VP.161,VP.162,VP.163,VP.164,VP.165,VP.250,VP.251,VP.252,VP.253,VP.254,VP.255,VP.256,VP.257,VP.258,VP.259,VP.260,VP.261,VP.262,VP.265,VP.266,VP.268
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215058,assainissement collectif : 3M,14,0,403859,403859,0,1,1,1,Délégation,Entreprise privée,,2015-01-01 12:00pm,2021-12-31 12:00pm,1,Non,,,Confirmé / publié,la collectivité,la collectivité,409203,Sans anomalie apparente,0,114,Sans anomalie apparente,0,5817,Sans anomalie apparente,0,,Non vérifié,0,,Non vérifié,0,91,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,0,0,Sans anomalie apparente,1,"0,06",Sans anomalie apparente,0,"13,2",Sans anomalie apparente,0,"0,54",Sans anomalie apparente,0,100,Sans anomalie apparente,1,110,Sans anomalie apparente,1,20,Sans anomalie apparente,0,,Non vérifié,0,"1,1",Sans anomalie apparente,0,88586,"71,18",0,"95,62",0,"36,48",10,0,,,,,0,0,,,"1099,6","33,8",6094,"80,56","4,62",,"0,15",0,24244237,23391,23391,5817,365,365,,,,,1,1,1,1,1,0,1,1,1,1,1,"93,3",1,"73,3",0,1,1,0,1,1,1,15,41,794722
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,67011,Sans anomalie apparente,0,34,Sans anomalie apparente,0,1199,Sans anomalie apparente,0,"1,69",Sans anomalie apparente,0,88,Sans anomalie apparente,0,,,,100,Sans anomalie apparente,0,99,Sans anomalie apparente,0,100,Sans anomalie apparente,0,100,Sans anomalie apparente,0,0,Sans anomalie apparente,0,"0,01",Sans anomalie apparente,0,"6,2",Sans anomalie apparente,0,"95,07",Sans anomalie apparente,0,"94,4",Sans anomalie apparente,0,,,,20,Sans anomalie apparente,0,,,,"3,61",Sans anomalie apparente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,450491,Sans anomalie apparente,0,106,Sans anomalie apparente,0,8834,Sans anomalie apparente,1,"1,49",Sans anomalie apparente,1,"92,28",Sans anomalie apparente,1,29,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,"15,8",Sans anomalie apparente,1,"0,85",Sans anomalie apparente,1,"97,2",Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,"0,3",Sans anomalie apparente,1,"0,38",Sans anomalie apparente,1,163792,,,"144,16",7,"34,88",10,0,,63242272,18320000,41320,0,72397477,,63,1288,55,"13,5","127,17","2,75",177501,"0,155",0,2606633,,"19432,23",,360,370,0,203,354,934,1,1,1,1,1,1,0,,1,1,1,90,1,20,,,,,,,,15,29,218340
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,205938,assainissement collectif :  Andrezieux Bouthéon,1,0,9790,4895,0,1,1,0,Délégation,Entreprise privée,VEOLIA,2012-12-01 12:00pm,2024-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,10152,Sans anomalie apparente,0,15,Sans anomalie apparente,0,,,,"1,87",Sans anomalie apparente,1,100,Sans anomalie apparente,1,91,Sans anomalie apparente,1,100,Sans anomalie apparente,0,,,,,,,,,,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,,Non vérifié,1,,,,110,Sans anomalie apparente,1,,Non vérifié,1,"0,85",Sans anomalie apparente,1,0,Sans anomalie apparente,1,4975,"73,42","19,19","113,1","2,24","38,45",10,,,0,,,40,648696,0,0,"80,8",,0,"61,57","2,04",4975,"0,15",,1175252,2880,2280,,,,0,0,"12,5","68,3",1,1,1,1,1,0,1,1,1,1,1,95,1,"66,6",0,1,1,0,1,1,1,15,41,5484
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80240,assainissement collectif : Chateauneuf,1,0,1599,799,0,1,1,0,Délégation,Entreprise privée,CHOLTON SERVICE RESEAUX,2016-07-01 12:00pm,2025-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,1625,Sans anomalie apparente,0,1,Sans anomalie apparente,0,,,,"2,32",Sans anomalie apparente,1,100,Sans anomalie apparente,1,75,Sans anomalie apparente,1,100,Sans anomalie apparente,0,,,,,,,,,,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,,Non vérifié,1,,,,50,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,0,Sans anomalie apparente,1,680,"144,59","10,68","90,78","13,93","43,34",10,,,0,,,0,,0,0,"25,55",,0,"26,61","2,39",680,"0,15",,64409,,"89,04",,,,0,0,"3,85","21,7",1,1,1,0,0,0,0,0,1,1,1,100,1,100,0,1,1,0,1,0,0,15,45,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80323,assainissement collectif : Lorette,1,0,4700,1566,0,1,1,0,Délégation,Entreprise privée,,2015-01-01 12:00pm,2025-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,4684,Sans anomalie apparente,0,2,Sans anomalie apparente,0,,,,"1,89",Sans anomalie apparente,1,100,Sans anomalie apparente,1,90,Sans anomalie apparente,1,100,Sans anomalie apparente,0,,,,,,,,,,"0,0019",Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,,Non vérifié,1,,,,50,Sans anomalie apparente,1,,Non vérifié,1,"2,64",Sans anomalie apparente,1,"13,35",Sans anomalie apparente,1,2247,"92,35",0,"95,78","18,93","38,61",10,,,0,0,0,"580,94","14129,59",30,0,"27,05",,0,"83,07","2,08",2247,"0,15",,303133,284,284,,,,0,0,"9,58","17,47",1,1,1,0,0,0,0,0,1,1,1,100,1,100,100,1,1,1,0,0,0,15,45,"373,02"
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,"Rhône-Méditerranée-Corse, Loire-Bretagne","FRD, FRG","FRD_RHON, FRG_ALA",262014,assainissement collectif : Métropole,46,0,169667,142822,0,1,1,1,Régie,Régie à autonomie financière,,,,44,Non,,,Confirmé / publié,la collectivité,la collectivité,,Non vérifié,0,177,Sans anomalie apparente,0,1651,Sans anomalie apparente,1,"2,46",Sans anomalie apparente,1,100,Sans anomalie apparente,1,38,Sans anomalie apparente,1,100,Sans anomalie apparente,1,94,Sans anomalie apparente,1,13,Sans anomalie apparente,1,100,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,"3,6",Sans anomalie apparente,1,,Non vérifié,1,"94,4",Sans anomalie apparente,1,50,Sans anomalie apparente,1,"6,1",Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,191868,,,"250,53","18,93","44,85",10,,,,"8205643,25","50161594,08",,,,,2012,,,"95,36",,191868,"0,15",,19293821,"10739,5","10746,6",,202,210,,72,927,1085,1,1,1,0,1,0,0,0,1,1,1,85,1,50,0,0,0,0,0,0,0,15,38,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80404,assainissement collectif : Roche la Moliere,1,0,9697,9697,0,1,1,1,Délégation,Entreprise privée,,2006-01-01 12:00am,,1,Non,,,Confirmé / publié,la collectivité,la collectivité,9835,Sans anomalie apparente,0,1,Sans anomalie apparente,0,"141,2",Sans anomalie apparente,1,"1,89",Sans anomalie apparente,1,100,Sans anomalie apparente,1,25,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,"0,002",Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,,Non vérifié,1,100,Sans anomalie apparente,1,50,Sans anomalie apparente,1,,Non vérifié,1,"2,52",Sans anomalie apparente,1,0,Sans anomalie apparente,1,4826,"120,16","17,79","67,97","1,14","38,61",10,,,,0,0,"743,6","2082022,95",0,0,"63,9",,"0,07","75,52","2,04",4826,"0,15",,367887,840,900,"141,21",12,12,0,0,"25,4","38,5",1,1,1,0,0,0,0,0,1,1,1,100,0,50,0,1,0,0,0,0,0,15,25,"52571,06"
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,249794,assainissement collectif : Saint Galmier,1,0,5722,5722,0,1,1,1,Délégation,Entreprise privée,SUEZ,,,1,Non,,,Confirmé / publié,la collectivité,la collectivité,5737,Sans anomalie apparente,0,4,Sans anomalie apparente,0,"405,8",Sans anomalie apparente,1,"1,55",Sans anomalie apparente,1,100,Sans anomalie apparente,1,25,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,100,Sans anomalie apparente,1,50,Sans anomalie apparente,1,,Non vérifié,1,"0,54",Sans anomalie apparente,1,0,Sans anomalie apparente,1,2991,"63,11","14,52","87,56","22,76","34,87",10,,,0,0,0,0,"1591385,98",0,0,"52,1",0,0,"57,41","1,92",2991,"0,15",,352790,5727,565,"405,82",12,12,0,0,"21,5","30,6",1,1,1,0,0,0,0,0,1,1,1,100,0,50,0,1,0,0,0,0,0,15,25,"8666,28"
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,192968,assainissement collectif : Saint-Chamond,1,0,34967,34967,0,1,1,1,Délégation,Entreprise privée,VEOLIA,2017-10-01 12:00pm,2025-06-30 12:00pm,1,Non,,,Confirmé / publié,la collectivité,la collectivité,35448,Sans anomalie apparente,0,9,Sans anomalie apparente,0,"794,9",Sans anomalie apparente,1,"1,89",Sans anomalie apparente,1,100,Sans anomalie apparente,1,115,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,0,Sans anomalie apparente,1,0,Sans anomalie apparente,1,"5,4",Sans anomalie apparente,1,,Non vérifié,1,100,Sans anomalie apparente,1,90,Sans anomalie apparente,1,,Non vérifié,1,"4,09",Sans anomalie apparente,1,0,Sans anomalie apparente,1,15917,"116,75","12,71","71,38","6,22","38,61",10,,,0,0,0,0,1164245,0,,"148,66",,"0,01","107,07","2,23",15917,"0,15",,1341445,6878,1887,"794,92",104,104,0,8,"82,71","65,95",1,1,1,1,1,0,0,0,1,1,1,100,1,100,50,1,1,1,1,1,1,15,45,47665
