DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Collecte,Transport,Dépollution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - STEU,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,Id SISPEA ouvrage,Nom ouvrage,Code SANDRE ouvrage,D203.0,P203.3,P204.3,P205.3,P206.3,P254.3,VP.176,VP.209,VP.210,VP.211
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215058,assainissement collectif : 3M,14,0,403859,403859,0,1,1,1,Délégation,Entreprise privée,,2015-01-01 12:00pm,2021-12-31 12:00pm,1,Non,,,Confirmé / publié,la collectivité,la collectivité,38007,STEU Maera,060934172001,5817,100,100,100,100,100,23391,5817,365,365
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,148941,STEU de Baillargues-St Brès,060934022002,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,148940,STEU de Beaulieu-Restinclières,060934227002,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,38018,STEU de Bonnel-Plagnol-ZAECresseStMartin,060934087002,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,38017,STEU de Cournonterral-Cournonsec,060934088001,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,150449,STEU de Fabrègues-Pignan-Saussan,060934095003,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,127067,STEU de Lavérune,060934134003,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,127072,STEU de Montaud,060934164001,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,127064,STEU de Murviel-les-Montpellier,060934179002,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,127069,STEU de Saint-Georges d'Orques,060934259002,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,148939,STEU de St-Drézéry,060934249002,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,37994,STEU de St-Géniès des Mourgues-Sussargues,060934256001,,,,,,,,,,
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,215057,assainissement collectif : Secteurs Est et Ouest,17,0,68358,68358,0,1,1,1,Délégation,Entreprise privée,SAUR,2015-01-01 12:00pm,2021-12-31 12:00pm,12,Non,,,Vérifié,la collectivité,la collectivité,38012,STEU de Villeneuve les Maguelone,060934337001,,,,,,,,,,
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,2672,Station d'épuration GRENOBLE / AQUAPOLE,060938170002,8834,100,100,100,100,"97,2",19393,8834,350,360
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,39247,assainissement collectif,63,0,481320,454659,10,1,1,1,Régie,Régie à autonomie financière,,,,6,Non,,,Confirmé / publié,la collectivité,la collectivité,2671,Station d'épuration LE GUA / PRELENFREY,060938187001,0,100,100,100,,100,"3,2",,2,2
