DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Code UGE de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Production,Transfert,Distribution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - Prélèvement,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,D101.0,Verif_D101.0,CalculAuto_D101.0,D102.0,Verif_D102.0,CalculAuto_D102.0,D151.0,Verif_D151.0,CalculAuto_D151.0,P101.1,Verif_P101.1,CalculAuto_P101.1,P102.1,Verif_P102.1,CalculAuto_P102.1,P103.2B,Verif_P103.2B,CalculAuto_P103.2B,P104.3,Verif_P104.3,CalculAuto_P104.3,P105.3,Verif_P105.3,CalculAuto_P105.3,P106.3,Verif_P106.3,CalculAuto_P106.3,P107.2,Verif_P107.2,CalculAuto_P107.2,P108.3,Verif_P108.3,CalculAuto_P108.3,P109.0,Verif_P109.0,CalculAuto_P109.0,P151.1,Verif_P151.1,CalculAuto_P151.1,P152.1,Verif_P152.1,CalculAuto_P152.1,P153.2,Verif_P153.2,CalculAuto_P153.2,P154.0,Verif_P154.0,CalculAuto_P154.0,P155.1,Verif_P155.1,CalculAuto_P155.1,VP.056,VP.177,VP.190,VP.178,VP.191,VP.179,VP.213,VP.214,VP.215,VP.216,VP.219,DC.184,DC.195,VP.183,VP.182,VP.119,VP.185,VP.020,VP.003,VP.152,VP.059,VP.060,VP.061,VP.193,VP.063,VP.201,VP.220,VP.221,DC.192,VP.077,VP.140,VP.141,VP.224,VP.225,VP.226,VP.227,VP.228,VP.229,VP.231,VP.232,VP.234,VP.062,VP.126,VP.127,VP.128,VP.129,VP.194,VP.212,VP.223,VP.235,VP.236,VP.237,VP.238,VP.239,VP.240,VP.241,VP.242,VP.243,VP.244,VP.245,VP.246,VP.247,VP.248,VP.249,VP.263,VP.264,VP.268
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,388208,Sans anomalie apparente,0,"1,6",Sans anomalie apparente,1,1,Sans anomalie apparente,0,"98,2",Sans anomalie apparente,0,"99,9",Sans anomalie apparente,1,100,Sans anomalie apparente,1,"83,2",Sans anomalie apparente,0,16,Sans anomalie apparente,0,"13,5",Sans anomalie apparente,0,"0,71",Sans anomalie apparente,0,80,Sans anomalie apparente,1,"0,0043",Sans anomalie apparente,1,"1,57",Sans anomalie apparente,0,100,Sans anomalie apparente,0,"0,2",Sans anomalie apparente,0,"2,72",Sans anomalie apparente,1,"3,41",Sans anomalie apparente,1,80985,,,138,18,"54,56","5,5",0,"0,081","0,29",0,"27648371,47",7725000,10244000,"2343021,12","106822,59","29213655,65",127,,276,32074506,3905019,2516594,80,24984614,0,359000,889900,"91,9",1328,38,,"59,31",,"76,86","81,86","60,98","4,79","308,51",24984614,35979525,36377203,721,1,741,1,,80,,0,1,1,1,95,1,95,1,1,0,1,1,1,0,1,15,45,"794722,06"
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,445059,Sans anomalie apparente,0,"1,8",Sans anomalie apparente,1,2,Sans anomalie apparente,0,"99,3",Sans anomalie apparente,1,"98,9",Sans anomalie apparente,1,90,Sans anomalie apparente,1,"86,5",Sans anomalie apparente,0,"9,4",Sans anomalie apparente,0,"7,7",Sans anomalie apparente,0,"0,84",Sans anomalie apparente,0,80,Sans anomalie apparente,0,"0,0014",Sans anomalie apparente,1,"0,48",Sans anomalie apparente,1,100,Sans anomalie apparente,0,"3,7",Sans anomalie apparente,1,"1,65",Sans anomalie apparente,0,"0,24",Sans anomalie apparente,1,170015,,,"164,2",31,"51,94","5,5",,"0,0589","0,28",,33333000,,14680000,54100000,34384,,81,,40,,,,,24024710,0,,,100,1973,"4,5","9,11",,,,,"86,17","2,62","141,31",24024710,,,1491,11,352,4,,,,,1,1,1,80,1,70,1,1,1,1,,0,1,,15,40,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80175,0420008,eau potable : Andrezieux Bouthéon,1,0,9790,4895,0,0,1,1,Délégation,Entreprise privée,VEOLIA,2013-01-01 12:00pm,2024-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,9887,Sans anomalie apparente,0,"1,47",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,"93,9",Sans anomalie apparente,1,"3,1",Sans anomalie apparente,1,"3,1",Sans anomalie apparente,1,,Non vérifié,1,80,Sans anomalie apparente,1,,Non vérifié,1,"1,38",Sans anomalie apparente,1,,Non vérifié,0,,Non vérifié,1,"0,55",Sans anomalie apparente,0,"1,38",Sans anomalie apparente,0,5087,"116,14","28,28",24,0,"36,83","5,5",,,"0,23",,,,,,,,7,,,0,1455376,0,80,1364311,,1240,421,,"79,68",,,"46,97","93,82","74,39","79,39","63,84","1,94","268,2",1364311,1455376,0,18,0,20,0,,,,0,1,1,1,95,1,100,1,1,0,1,1,1,0,1,15,45,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80209,0420046,eau potable : Caloire,1,0,316,316,0,1,1,1,Délégation,Entreprise privée,VEOLIA,2013-01-01 12:00pm,2024-12-31 12:00pm,1,Non,,,Confirmé / publié,la collectivité,la collectivité,319,Sans anomalie apparente,0,"3,66",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,90,Sans anomalie apparente,1,"83,5",Sans anomalie apparente,1,1,Sans anomalie apparente,1,"0,9",Sans anomalie apparente,1,,Non vérifié,1,"43,3",Sans anomalie apparente,1,,Non vérifié,1,"6,94",Sans anomalie apparente,1,,Non vérifié,0,,Non vérifié,0,0,Sans anomalie apparente,0,"6,94",Sans anomalie apparente,0,144,"286,71","59,71","102,16","28,96","50,51","5,5",,,"0,23",,,,,,,,1,,,1516,17121,0,40,15341,,144,70,,"9,26",,,"4,6","76,6","65,92","70,92","15,55","2,22","106,53",15341,18637,1516,8,0,8,0,,80,,0,1,1,1,95,1,55,1,1,0,1,1,1,0,0,15,40,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80598,0420167,eau potable : Cellieu-Chagnon,2,0,2187,2187,0,0,1,1,Délégation,Entreprise privée,VEOLIA,2020-09-01 12:00pm,2024-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,2236,Sans anomalie apparente,0,"2,33",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,110,Sans anomalie apparente,1,"80,5",Sans anomalie apparente,1,"3,6",Sans anomalie apparente,1,"2,9",Sans anomalie apparente,1,,Non vérifié,1,60,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,,Non vérifié,1,"1,71",Sans anomalie apparente,0,,Non vérifié,1,1052,"182,82",22,"36,2",17,"61,14","5,5",,"0,1078","0,28",,,,,,,,,,,0,215852,60915,60,102949,,6208,3607,,"39,47",,,"12,06","81,63","67,41","72,41","26,65","2,13","97,86",102949,215852,,9,0,9,0,,,,0,1,1,1,98,1,100,0,1,1,1,1,1,1,1,15,45,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80224,0420157,eau potable : Chamboeuf,1,0,1711,855,0,1,1,1,Délégation,Entreprise privée,Stéphanoise des Eau,2010-01-01 12:00pm,2024-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,1788,Sans anomalie apparente,0,"2,86",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,106,Sans anomalie apparente,1,"87,1",Sans anomalie apparente,1,"1,4",Sans anomalie apparente,1,"1,1",Sans anomalie apparente,1,,Non vérifié,1,80,Sans anomalie apparente,1,,Non vérifié,1,0,Sans anomalie apparente,0,,Non vérifié,0,,Non vérifié,1,"0,07",Sans anomalie apparente,0,,Non vérifié,1,697,"246,86","72,63","46,81","11,1","49,98","5,5",,"0,0372","0,23",,,,,,,,,,,0,91840,0,80,77747,,2225,,,"28,41",,,"7,71","88,13","66,54","71,54","24,53","2,57","111,55",77747,91840,0,8,0,8,0,,,,0,1,1,1,87,1,87,0,1,1,1,1,1,1,1,15,41,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80239,0420002,eau potable : Chateauneuf,1,0,1599,1599,0,0,1,1,Délégation,Entreprise privée,CHOLTON SERVICE RESEAUX,2012-07-01 12:00pm,2024-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,1645,Sans anomalie apparente,0,"3,32",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,85,Sans anomalie apparente,1,"80,4",Sans anomalie apparente,1,"2,5",Sans anomalie apparente,1,"2,1",Sans anomalie apparente,1,,Non vérifié,1,60,Sans anomalie apparente,1,,Non vérifié,1,0,Sans anomalie apparente,1,100,Sans anomalie apparente,0,,Non vérifié,1,"0,77",Sans anomalie apparente,0,0,Sans anomalie apparente,0,742,"152,2","19,91","192,2",5,"54,39","5,5",,,"0,28",,,,,,,,0,,,0,118219,0,60,69648,21939,3500,,,"29,5",,,"8,83","80,29","66,77","71,77","25,15","2,22","123,43",91587,118219,0,12,0,14,0,,,,0,1,1,1,95,1,95,1,1,0,1,,,1,,15,45,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Rhône-Méditerranée-Corse,FRD,FRD_RHON,80616,0420099,eau potable : Dorlay,3,0,3024,3024,0,1,1,1,Régie,Entreprise privée,CHOLTON SERVICE RESEAUX,2016-11-01 12:00pm,2024-12-31 12:00pm,0,Non,,,Confirmé / publié,la collectivité,la collectivité,3051,Sans anomalie apparente,0,"3,64",Sans anomalie apparente,1,8,Sans anomalie apparente,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,73,Sans anomalie apparente,1,"73,1",Sans anomalie apparente,1,"2,4",Sans anomalie apparente,1,"2,2",Sans anomalie apparente,1,,Non vérifié,1,60,Sans anomalie apparente,1,,Non vérifié,1,0,Sans anomalie apparente,0,100,Sans anomalie apparente,0,,Non vérifié,1,"2,65",Sans anomalie apparente,0,,Non vérifié,1,1215,,,"380,6",113,"56,38","5,5",,,"0,28",,,,,,,,,,,0,144131,0,60,101299,,4000,,,"49,29",,,"5,85","76,97","66,17","71,17","24,65","2,51","83,37",101299,144131,,10,0,10,0,,,,0,1,1,1,95,1,85,0,1,0,1,1,0,0,0,15,43,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80286,0420045,eau potable : Firminy,1,0,17135,17135,0,1,1,1,Régie,Régie à autonomie financière,,,,2,Non,,,Confirmé / publié,la collectivité,la collectivité,17190,Sans anomalie apparente,0,"2,15",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,85,Sans anomalie apparente,1,"68,9",Sans anomalie apparente,1,"25,8",Sans anomalie apparente,1,"24,3",Sans anomalie apparente,1,,Non vérifié,1,40,Sans anomalie apparente,1,,Non vérifié,1,,Non vérifié,1,,Non vérifié,0,,Non vérifié,1,"6,15",Sans anomalie apparente,0,,Non vérifié,1,5468,,,"217,36","33,76","41,07","5,5",,,"0,23",,,,,,,,,,,2173154,8946,673753,40,786198,,42899,,,"76,6",,,"53,75","72,35","75,75","80,75","71,38","3,14","143,78",786198,2182100,,36,0,36,0,,40,,0,1,1,1,80,1,70,,1,,1,1,,1,1,15,40,
042,198243,SAINT-ETIENNE METROPOLE,Métropole,244200770,,53,Oui,Loire-Bretagne,FRG,FRG_ALA,80287,0420017,eau potable : Fontanès,1,0,678,678,0,1,1,1,Délégation,Entreprise privée,AQUALTER Exploitation,2018-01-01 12:00pm,2022-09-30 12:00pm,1,Non,,,Confirmé / publié,la collectivité,la collectivité,691,Sans anomalie apparente,0,"4,17",Sans anomalie apparente,1,,Non vérifié,0,100,Sans anomalie apparente,1,100,Sans anomalie apparente,1,91,Sans anomalie apparente,1,86,Sans anomalie apparente,1,"1,5",Sans anomalie apparente,1,"1,3",Sans anomalie apparente,1,,Non vérifié,1,80,Sans anomalie apparente,1,,Non vérifié,1,"5,3",Sans anomalie apparente,0,,Non vérifié,0,,Non vérifié,1,"1,23",Sans anomalie apparente,0,"3,37",Sans anomalie apparente,1,297,"226,39","20,78","215,6","39,2","58,9","5,5",,"0,0432","0,23",,,,,,,,,1,,4220,74681,46227,80,20393,,1000,238,,"22,64",,,"8,21","81,6","66,64","71,64","13,12","2,33","68,66",20393,78901,4220,12,0,16,0,,80,,0,1,1,1,89,1,89,1,1,0,1,1,1,0,0,15,41,
