DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,N° SIREN,N° INSEE si commune,Communes membres de la coll,Avec ou sans CCSPL,Agence(s) de l'eau,Bassin(s) concerné(s),Sous-Unité(s) DCE concernée(s),Id SISPEA de l'entité de gestion,Code UGE de l'entité de gestion,Nom de l'entité de gestion,Communes adhérentes de l'entité de gestion,EPCI adhérents de l'entité de gestion,Pop communes adhérentes,Pop de l'entité de gestion sans double compte,Communes desservies seulement,Production,Transfert,Distribution,Mode de gestion,Statut de l'opérateur,Nom de l'opérateur,Date de début de contrat,Date de fin de contrat,Nb d'ouvrages - Prélèvement,Convention de délégation de compétences,Date de début de la convention de délégation de compétences,Date de fin de la convention de délégation de compétences,Statut,Origine saisie des IP,Origine publication des IP,Id SISPEA ouvrage,Nom ouvrage,Code SISEAUX ouvrage,VP.194,VP.212,VP.223
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150455,FESCAU 1,034001001,,80,151748
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150454,FESCAU 2,034003497,,80,0
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,141098,FLES NORD,034000631,,80,118991
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,141099,FLES SUD,034000632,,80,0
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150453,GARRIGUES BASSES F1 NORD,034003498,,,0
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150452,GARRIGUES BASSES F2 SUD,034003499,,,0
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,141095,LE CHATEAU,034000202,,80,118612
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,37694,LEZ,034001314,,80,35532560
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150450,PIDOULE NORD F1,034001000,,80,0
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150451,PIDOULE NORD F2,034004323,,80,0
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,141096,PRADAS,034000203,,80,166879
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150458,SAINT BAUZILLE,034001128,,80,216567
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150457,STADE EST,034001127,,80,71846
034,81762,Montpellier Méditerranée Métropole,Métropole,243400017,,31,Oui,Rhône-Méditerranée-Corse,FRD,FRD_COLR,218394,0340239,eau potable : Régie des eaux,13,0,377426,377426,0,1,1,1,Régie,Régie à autonomie financière,,2016-01-01 12:00am,,14,Non,,,Confirmé / publié,la collectivité,la collectivité,150456,STADE OUEST,034003503,,80,0
038,38618,Grenoble Alpes Métropole (LA METRO),Métropole,200040715,,52,Oui,Rhône-Méditerranée-Corse,FRD,FRD_ISER,215437,03800856,eau potable,51,0,456458,448291,0,1,1,1,Régie,Régie à autonomie financière,,2015-01-01 12:00am,,82,Non,,,Confirmé / publié,la collectivité,la collectivité,136435,Captage Pré Rivoire à la Tronche,038000294,,80,
