DPT du siège de la coll.,Id SISPEA de la collectivité,Nom collectivité,Type collectivité,Id SISPEA de l'entité de gestion,Nom de l'entité de gestion,Mode de gestion,Pop de l'entité de gestion sans double compte,Statut,D101.0,Verif_D101.0,CalculAuto_D101.0,D102.0,Verif_D102.0,CalculAuto_D102.0,VP.179,VP.178,VP.214,DC.184,VP.177,VP.229,VP.213,VP.190,VP.216,VP.056,VP.215,VP.191,VP.175,VP.219,Borne inférieure Tranche 1 (part collectivité),Borne supérieure Tranche 1 (part collectivité),Prix Tranche 1 (part collectivité),Borne inférieure Tranche 2 (part collectivité),Borne supérieure Tranche 2 (part collectivité),Prix Tranche 2 (part collectivité),Borne inférieure Tranche 3 (part collectivité),Borne supérieure Tranche 3 (part collectivité),Prix Tranche 3 (part collectivité),Borne inférieure Tranche 4 (part collectivité),Borne supérieure Tranche 4 (part collectivité),Prix Tranche 4 (part collectivité),Borne inférieure Tranche 5 (part collectivité),Borne supérieure Tranche 5 (part collectivité),Prix Tranche 5 (part collectivité),Borne inférieure Tranche 6 (part collectivité),Borne supérieure Tranche 6 (part collectivité),Prix Tranche 6 (part collectivité),Borne inférieure Tranche 7 (part collectivité),Borne supérieure Tranche 7 (part collectivité),Prix Tranche 7 (part collectivité),Borne inférieure Tranche 8 (part collectivité),Borne supérieure Tranche 8 (part collectivité),Prix Tranche 8 (part collectivité),Borne inférieure Tranche 9 (part collectivité),Borne supérieure Tranche 9 (part collectivité),Prix Tranche 9 (part collectivité),Borne inférieure Tranche 10 (part collectivité),Borne supérieure Tranche 10 (part collectivité),Prix Tranche 10 (part collectivité),Borne inférieure Tranche 1 (part délégataire),Borne supérieure Tranche 1 (part délégataire),Prix Tranche 1 (part délégataire),Borne inférieure Tranche 2 (part délégataire),Borne supérieure Tranche 2 (part délégataire),Prix Tranche 2 (part délégataire),Borne inférieure Tranche 3 (part délégataire),Borne supérieure Tranche 3 (part délégataire),Prix Tranche 3 (part délégataire),Borne inférieure Tranche 4 (part délégataire),Borne supérieure Tranche 4 (part délégataire),Prix Tranche 4 (part délégataire),Borne inférieure Tranche 5 (part délégataire),Borne supérieure Tranche 5 (part délégataire),Prix Tranche 5 (part délégataire),Borne inférieure Tranche 6 (part délégataire),Borne supérieure Tranche 6 (part délégataire),Prix Tranche 6 (part délégataire),Borne inférieure Tranche 7 (part délégataire),Borne supérieure Tranche 7 (part délégataire),Prix Tranche 7 (part délégataire),Borne inférieure Tranche 8 (part délégataire),Borne supérieure Tranche 8 (part délégataire),Prix Tranche 8 (part délégataire),Borne inférieure Tranche 9 (part délégataire),Borne supérieure Tranche 9 (part délégataire),Prix Tranche 9 (part délégataire),Borne inférieure Tranche 10 (part délégataire),Borne supérieure Tranche 10 (part délégataire),Prix Tranche 10 (part délégataire)
034,CollectivityId=81762,Montpellier Méditerranée Métropole,Métropole,ServiceId=218394,eau potable : Régie des eaux,Régie,377426,Confirmé / publié,388208,Sans anomalie apparente,0,"1,6",Sans anomalie apparente,1,"54,56",138,0,"27648371,47",,"4,79","5,5",,"0,29",80985,"0,081",18,388208,0,0,120,1,120,,"1,123",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038,CollectivityId=38618,Grenoble Alpes Métropole (LA METRO),Métropole,ServiceId=215437,eau potable,Régie,448291,Confirmé / publié,445059,Sans anomalie apparente,0,"1,8",Sans anomalie apparente,1,"51,94","164,2",,33333000,,"2,62","5,5",,"0,28",170015,"0,0589",31,445059,,0,,"1,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80427,eau potable : Sainte Croix en Jarez,Régie,478,Confirmé / publié,485,Sans anomalie apparente,0,"2,38",Sans anomalie apparente,1,"56,88","228,6",,,,"1,96","5,5",,"0,28",247,"0,07",45,485,,0,,"1,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80503,eau potable : Saint Paul en Cornillon,Délégation,1364,Confirmé / publié,1392,Sans anomalie apparente,0,"3,14",Sans anomalie apparente,1,"47,22",160,,,"169,17","2,23","5,5","56,17","0,23",625,,40,1392,,0,200,1,200,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"0,9417",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80300,eau potable : La Grand Croix,Délégation,5136,Confirmé / publié,5209,Sans anomalie apparente,0,"2,22",Sans anomalie apparente,1,"66,42","31,2",,,"168,2","2,35","5,5","25,46","0,28",2213,"0,158",0,5209,,0,,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,1895",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80325,eau potable : Lorette,Délégation,4700,Confirmé / publié,4715,Sans anomalie apparente,0,"1,9",Sans anomalie apparente,1,"45,49","13,09",,,"169,48","2,1","5,5","24,09","0,28",2247,,"2,29",4715,,0,,"0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,2116",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80239,eau potable : Chateauneuf,Délégation,1599,Confirmé / publié,1645,Sans anomalie apparente,0,"3,32",Sans anomalie apparente,1,"54,39","192,2",,,"152,2","2,22","5,5","19,91","0,28",742,,5,1645,,0,,"1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,1024",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80616,eau potable : Dorlay,Régie,3024,Confirmé / publié,3051,Sans anomalie apparente,0,"3,64",Sans anomalie apparente,1,"56,38","380,6",,,,"2,51","5,5",,"0,28",1215,,113,3051,,0,300,"2,23",300,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80505,eau potable : Saint Paul en Jarez,Délégation,4844,Confirmé / publié,4891,Sans anomalie apparente,0,"2,57",Sans anomalie apparente,1,"49,69","78,6",,,"180,28","2,41","5,5","9,62","0,28",2027,,15,4891,,0,,"0,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"1,4222",,,,,,,,,,,,,,,,,,,,,,,,,,,
042,CollectivityId=198243,SAINT-ETIENNE METROPOLE,Métropole,ServiceId=80472,eau potable : Saint Joseph,Régie,1901,Confirmé / publié,1944,Sans anomalie apparente,0,"2,88",Sans anomalie apparente,1,"51,63","294,2",,,,"2,27","5,5",,"0,28",858,,35,1944,,0,,"2,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
