DPT de la commune,Nom de la commune adhérente,Identifiant SISPEA de la commune adhérente,Code INSEE de la commune adhérente,Population de la commune,Type d'adhésion,Nom de la collectivité via laquelle la commune adhère,N° SIREN de la collectivité via laquelle la commune adhère,Identifiant SISPEA de la collectivité via laquelle la commune adhère,Nom de la collectivité de l'entité de gestion à laquelle la commune adhère,Identifiant SISPEA de la collectivité de l'entité de gestion à laquelle la commune adhère,Type de collectivité,N° SIREN,Avec ou sans CCSPL,Compétence,Nom de l'entité de gestion à laquelle la commune adhère,Identifiant SISPEA de l'entité de gestion à laquelle la commune adhère,Code UGE (eau potabe),Zone tarifaire 1,Tarif zone tarifaire 1,Zone tarifaire 2,Tarif zone tarifaire 2,Zone tarifaire 3,Tarif zone tarifaire 3,Zone tarifaire 4,Tarif zone tarifaire 4,Zone tarifaire 5,Tarif zone tarifaire 5
34,Pérols,13952,34198,8985,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Vendargues,14080,34327,6232,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Montferrier-sur-Lez,13923,34169,3720,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Montpellier,13926,34172,285121,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Villeneuve-lès-Maguelone,14090,34337,10012,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Sussargues,14060,34307,2751,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Grabels,13870,34116,8430,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Saint-Brès,13998,34244,2948,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Jacou,13874,34120,6791,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Prades-le-Lez,13971,34217,5467,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Le Crès,13844,34090,9321,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Juvignac,13877,34123,11084,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
34,Lattes,13883,34129,16564,Adhérent direct,,,,Montpellier Méditerranée Métropole,81762,Métropole,243400017,Oui,eau potable,eau potable : Régie des eaux,218394,0340239,Indicateur tarif,"1,6",,,,,,,,
38,Notre-Dame-de-Mésage,15233,38279,1147,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Noyarey,15235,38281,2223,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Domène,15115,38150,6745,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Saint-Martin-d'Hères,15371,38421,38487,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Échirolles,15116,38151,36840,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Saint-Martin-le-Vinoux,15373,38423,5778,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Vizille,15502,38562,7361,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Eybens,15123,38158,10185,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Saint-Paul-de-Varces,15386,38436,2173,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Fontaine,15132,38169,22523,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Fontanil-Cornillon,15133,38170,2710,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Poisat,15263,38309,2168,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Saint-Pierre-de-Mésage,15394,38445,764,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
38,Gières,15141,38179,6779,Adhérent direct,,,,Grenoble Alpes Métropole (LA METRO),38618,Métropole,200040715,Oui,eau potable,eau potable,215437,03800856,Indicateur tarif,"1,8",,,,,,,,
