FID,date_maj,the_geom,code_no2,code_o3,code_pm10,code_pm25,code_qual,code_so2,code_zone,coul_qual,date_dif,date_ech,epsg_reg,lib_qual,lib_zone,source,type_zone,x_reg,x_wgs84,y_reg,y_wgs84,metropole,nom_commune
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c74,2026-06-29T14:04:11.891Z,POINT (124910.92619232257 6344149.767199912),1,2,1,1,2,0,76005,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Amfreville-la-Mi-Voie,Atmo Normandie,commune,563678.9,1.1221,6924643.5,49.4067,Rouen,Amfreville-la-Mi-Voie
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c65,2026-06-29T14:04:11.891Z,POINT (98537.6122996395 6353647.08132932),1,2,1,1,2,0,76020,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Anneville-Ambourville,Atmo Normandie,commune,546649.9,0.8852,6931249,49.4622,Rouen,Anneville-Ambourville
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c55,2026-06-29T14:04:11.891Z,POINT (126153.36067560413 6332848.017223117),1,2,1,1,2,0,76039,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Les Authieux-sur-le-Port-Saint-Ouen,Atmo Normandie,commune,564315.1,1.1333,6917272,49.3406,Rouen,Les Authieux-sur-le-Port-Saint-Ouen
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c45,2026-06-29T14:04:11.891Z,POINT (103297.01365202977 6349125.221961483),1,2,1,1,2,0,76056,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Bardouville,Atmo Normandie,commune,549672.3,0.9279,6928229.5,49.4357,Rouen,Bardouville
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c39,2026-06-29T14:04:11.891Z,POINT (126802.35022654352 6340999.885439564),1,2,1,1,2,0,76069,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Belbeuf,Atmo Normandie,commune,564863.8,1.1391,6922566,49.3883,Rouen,Belbeuf
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c2a,2026-06-29T14:04:11.891Z,POINT (100370.43486178346 6355385.586874072),1,2,1,1,2,0,76088,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Berville-sur-Seine,Atmo Normandie,commune,547873.5,0.9016,6932346,49.4723,Rouen,Berville-sur-Seine
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c24,2026-06-29T14:04:11.891Z,POINT (124263.92493732591 6352323.404746357),1,2,1,1,2,0,76095,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Bihorel,Atmo Normandie,commune,563383.8,1.1163,6929965,49.4544,Rouen,Bihorel
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c1e,2026-06-29T14:04:11.891Z,POINT (125412.02575735385 6346820.198149597),1,2,1,1,2,0,76103,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Bonsecours,Atmo Normandie,commune,564046.8,1.1266,6926371.5,49.4223,Rouen,Bonsecours
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c19,2026-06-29T14:04:11.891Z,POINT (124620.5572982979 6355044.778930995),1,2,1,1,2,0,76108,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Bois-Guillaume,Atmo Normandie,commune,563658.2,1.1195,6931726.5,49.4703,Rouen,Bois-Guillaume
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c11,2026-06-29T14:04:11.891Z,POINT (133679.9305484156 6341166.52860537),1,2,1,1,2,0,76116,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Boos,Atmo Normandie,commune,569352,1.2009,6922570.5,49.3892,Rouen,Boos
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2c03,2026-06-29T14:04:11.891Z,POINT (103695.59470411242 6334645.370150662),1,2,1,1,2,0,76131,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,La Bouille,Atmo Normandie,commune,549685.3,0.9315,6918807,49.3511,Rouen,La Bouille
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2bec,2026-06-29T14:04:11.891Z,POINT (115336.42571631838 6351766.380077963),1,2,1,1,2,0,76157,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Canteleu,Atmo Normandie,commune,557559.7,1.0361,6929744.5,49.4512,Rouen,Canteleu
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2be4,2026-06-29T14:04:11.891Z,POINT (113335.26943277413 6323048.681795843),1,2,1,1,2,0,76165,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Caudebec-lès-Elbeuf,Atmo Normandie,commune,555787.1,1.0181,6911093.5,49.2832,Rouen,Caudebec-lès-Elbeuf
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2bd7,2026-06-29T14:04:11.891Z,POINT (114953.2639864315 6328290.472861627),1,2,1,1,2,0,76178,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Cléon,Atmo Normandie,commune,556929.6,1.0326,6914482,49.3139,Rouen,Cléon
ind_atmo_2021.fid-3d3c9ea3_19f17b50f06_-2bb6,2026-06-29T14:04:11.891Z,POINT (127446.25838984917 6349905.512904681),1,2,1,1,2,0,76212,#50CCAA,2026-06-29T08:32:31Z,2026-06-29,2154,Moyen,Darnétal,Atmo Normandie,commune,565419.8,1.1449,6928345,49.4403,Rouen,Darnétal
