annee_universitaire,niveau_geographique,geo_nom,regroupement,rgp_formations_ou_etablissements,secteur,secteur_de_l_etablissement,sexe,sexe_de_l_etudiant,effectif,effectifhdccpge,a_des_effectifs_dut,effectif_dut,a_des_effectifs_ing,effectif_ing,a_des_effectifs_form_ens,effectif_form_ens,a_des_effectifs_apprentis_sts,effectif_apprentis_en_sts,effectif_atlas,niveau_geo,geo_id,reg_id,aca_id,dep_id,uucr_id,rentree,annee
2020-21,Commune,Voiron,STS,Sections de techniciens supérieurs (STS) et assimilés,PU,Établissements publics,1,Masculin,141,141,non,0,non,0,non,0,oui,32,141,COMMUNE,38563,R84,A08,D038,UU38502,2020,2021
2020-21,Commune,Rennes,ING_autres,Autres formations d'ingénieurs,PU,Établissements publics,1,Masculin,1537,1537,non,0,oui,1537,non,0,non,0,1537,COMMUNE,35238,R53,A14,D035,UU35701,2020,2021
2018-19,Département,Isère,EC_ART,Écoles supérieures art et culture,PU,Établissements publics,1,Masculin,442,442,non,0,non,0,non,0,non,0,442,DEPARTEMENT,D038,R84,A08,D038,,2018,2019
2023-24,Département,Ille-et-Vilaine,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,1,Masculin,25556,24744,oui,1520,non,0,oui,374,oui,206,24744,DEPARTEMENT,D035,R53,A14,D035,,2023,2024
2021-22,Département,Ille-et-Vilaine,EC_autres,Autres écoles de spécialités diverses,PR,Établissements privés,1,Masculin,710,710,non,0,non,0,non,0,non,0,710,DEPARTEMENT,D035,R53,A14,D035,,2021,2022
2023-24,Commune,Grenoble,CPGE,Classes préparatoires aux grandes écoles (CPGE),PU,Établissements publics,1,Masculin,827,827,non,0,non,0,non,0,non,0,827,COMMUNE,38185,R84,A08,D038,UU38701,2023,2024
2022-23,Commune,Le Rheu,CPGE,Classes préparatoires aux grandes écoles (CPGE),PU,Établissements publics,2,Feminin,48,48,non,0,non,0,non,0,non,0,48,COMMUNE,35240,R53,A14,D035,UU35302,2022,2023
2022-23,Commune,Le Rheu,CPGE,Classes préparatoires aux grandes écoles (CPGE),PU,Établissements publics,1,Masculin,22,22,non,0,non,0,non,0,non,0,22,COMMUNE,35240,R53,A14,D035,UU35302,2022,2023
2015-16,Commune,Villette-d'Anthon,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,6,6,non,0,non,0,non,0,non,0,6,COMMUNE,38557,R84,A08,D038,UU38128,2015,2016
2015-16,Commune,Saint-Malo,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,1,Masculin,31,31,non,0,non,0,non,0,non,0,31,COMMUNE,35288,R53,A14,D035,UU35402,2015,2016
2015-16,Commune,Moirans,STS,Sections de techniciens supérieurs (STS) et assimilés,PR,Établissements privés,1,Masculin,250,250,non,0,non,0,non,0,oui,240,250,COMMUNE,38239,R84,A08,D038,UU38502,2015,2016
2015-16,Commune,Rennes,EC_ART,Écoles supérieures art et culture,PR,Établissements privés,2,Feminin,254,254,non,0,non,0,non,0,non,0,254,COMMUNE,35238,R53,A14,D035,UU35701,2015,2016
2016-17,Commune,Le Rheu,TOTAL,Total des formations d'enseignement supérieur,PU,Établissements publics,1,Masculin,183,183,non,0,non,0,non,0,oui,16,183,COMMUNE,35240,R53,A14,D035,UU35302,2016,2017
2016-17,Commune,Vitré,TOTAL,Total des formations d'enseignement supérieur,PR,Établissements privés,2,Feminin,36,36,non,0,non,0,non,0,oui,35,36,COMMUNE,35360,R53,A14,D035,UU35303,2016,2017
