Code du département,Libellé du département,Code de la commune,Libellé de la commune,Code B.Vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N.Pan.,Code Nuance,Sexe
35,Ille-et-Vilaine,1,Acigné,1,906,542,59.82,364,40.18,20,2.21,5.49,16,1.77,4.4,328,36.2,90.11,1,LDVG,M
35,Ille-et-Vilaine,1,Acigné,2,917,544,59.32,373,40.68,17,1.85,4.56,22,2.4,5.9,334,36.42,89.54,1,LDVG,M
35,Ille-et-Vilaine,1,Acigné,3,932,577,61.91,355,38.09,21,2.25,5.92,13,1.39,3.66,321,34.44,90.42,1,LDVG,M
35,Ille-et-Vilaine,1,Acigné,4,830,548,66.02,282,33.98,8,0.96,2.84,9,1.08,3.19,265,31.93,93.97,1,LDVG,M
35,Ille-et-Vilaine,1,Acigné,5,781,493,63.12,288,36.88,15,1.92,5.21,16,2.05,5.56,257,32.91,89.24,1,LDVG,M
35,Ille-et-Vilaine,1,Acigné,6,813,509,62.61,304,37.39,6,0.74,1.97,7,0.86,2.3,291,35.79,95.72,1,LDVG,M
35,Ille-et-Vilaine,22,Bécherel,1,521,223,42.8,298,57.2,4,0.77,1.34,4,0.77,1.34,290,55.66,97.32,2,NC,F
35,Ille-et-Vilaine,24,Betton,1,951,540,56.78,411,43.22,16,1.68,3.89,4,0.42,0.97,391,41.11,95.13,1,LDVG,M
35,Ille-et-Vilaine,24,Betton,2,992,612,61.69,380,38.31,26,2.62,6.84,11,1.11,2.89,343,34.58,90.26,1,LDVG,M
35,Ille-et-Vilaine,24,Betton,3,1093,676,61.85,417,38.15,6,0.55,1.44,11,1.01,2.64,400,36.6,95.92,1,LDVG,M
35,Ille-et-Vilaine,24,Betton,4,940,489,52.02,451,47.98,9,0.96,2.0,15,1.6,3.33,427,45.43,94.68,1,LDVG,M
35,Ille-et-Vilaine,24,Betton,5,985,523,53.1,462,46.9,7,0.71,1.52,6,0.61,1.3,449,45.58,97.19,1,LDVG,M
35,Ille-et-Vilaine,24,Betton,6,1015,526,51.82,489,48.18,17,1.67,3.48,5,0.49,1.02,467,46.01,95.5,1,LDVG,M
35,Ille-et-Vilaine,24,Betton,7,1010,588,58.22,422,41.78,7,0.69,1.66,7,0.69,1.66,408,40.4,96.68,1,LDVG,M
35,Ille-et-Vilaine,24,Betton,8,1113,657,59.03,456,40.97,12,1.08,2.63,13,1.17,2.85,431,38.72,94.52,1,LDVG,M
