Code du département,Libellé du département,Code de la commune,Libellé de la commune,Code B.Vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N.Pan.,Code Nuance,Sexe
35,Ille-et-Vilaine,59,La Chapelle-des-Fougeretz,0001,827,330,39.9,497,60.1,8,0.97,1.61,4,0.48,0.8,485,58.65,97.59,1,LDIV,M
35,Ille-et-Vilaine,59,La Chapelle-des-Fougeretz,0002,966,469,48.55,497,51.45,7,0.72,1.41,3,0.31,0.6,487,50.41,97.99,1,LDIV,M
35,Ille-et-Vilaine,59,La Chapelle-des-Fougeretz,0003,827,365,44.14,462,55.86,4,0.48,0.87,1,0.12,0.22,457,55.26,98.92,1,LDIV,M
35,Ille-et-Vilaine,59,La Chapelle-des-Fougeretz,0004,775,352,45.42,423,54.58,6,0.77,1.42,3,0.39,0.71,414,53.42,97.87,1,LDIV,M
35,Ille-et-Vilaine,238,Rennes,0111,1128,733,64.98,395,35.02,7,0.62,1.77,6,0.53,1.52,382,33.87,96.71,1,LREM,F
35,Ille-et-Vilaine,238,Rennes,0112,980,672,68.57,308,31.43,7,0.71,2.27,3,0.31,0.97,298,30.41,96.75,1,LREM,F
35,Ille-et-Vilaine,238,Rennes,0113,1205,781,64.81,424,35.19,5,0.41,1.18,4,0.33,0.94,415,34.44,97.88,1,LREM,F
35,Ille-et-Vilaine,238,Rennes,0114,1200,769,64.08,431,35.92,6,0.5,1.39,4,0.33,0.93,421,35.08,97.68,1,LREM,F
35,Ille-et-Vilaine,238,Rennes,0121,1193,763,63.96,430,36.04,6,0.5,1.4,5,0.42,1.16,419,35.12,97.44,1,LREM,F
35,Ille-et-Vilaine,238,Rennes,0122,1215,764,62.88,451,37.12,4,0.33,0.89,3,0.25,0.67,444,36.54,98.45,1,LREM,F
