Code du département,Libellé du département,Code de la commune,Libellé de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Non-Exprimés,% Non-Exp/Ins,% Non-Exp/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Année,Numéro de tour
34,Hérault,022,Baillargues,5191,1497,28.84,3694,71.16,106,2.04,2.87,3588,69.12,97.13,2014,1
34,Hérault,027,Beaulieu,1307,424,32.44,883,67.56,135,10.33,15.29,748,57.23,84.71,2014,1
34,Hérault,057,Castelnau-le-Lez,13677,5355,39.15,8322,60.85,376,2.75,4.52,7946,58.1,95.48,2014,1
34,Hérault,058,Castries,4626,1318,28.49,3308,71.51,100,2.16,3.02,3208,69.35,96.98,2014,1
34,Hérault,077,Clapiers,4062,1100,27.08,2962,72.92,237,5.83,8.0,2725,67.09,92.0,2014,1
34,Hérault,087,Cournonsec,2048,788,38.48,1260,61.52,266,12.99,21.11,994,48.54,78.89,2014,1
34,Hérault,088,Cournonterral,4516,1422,31.49,3094,68.51,222,4.92,7.18,2872,63.6,92.82,2014,1
34,Hérault,090,Le Crès,6855,2332,34.02,4523,65.98,196,2.86,4.33,4327,63.12,95.67,2014,1
34,Hérault,095,Fabrègues,5477,1769,32.3,3708,67.7,113,2.06,3.05,3595,65.64,96.95,2014,1
34,Hérault,116,Grabels,4813,1520,31.58,3293,68.42,99,2.06,3.01,3194,66.36,96.99,2014,1
34,Hérault,120,Jacou,4417,1270,28.75,3147,71.25,208,4.71,6.61,2939,66.54,93.39,2014,1
34,Hérault,123,Juvignac,6368,2134,33.51,4234,66.49,145,2.28,3.42,4089,64.21,96.58,2014,1
34,Hérault,129,Lattes,13051,4739,36.31,8312,63.69,277,2.12,3.33,8035,61.57,96.67,2014,1
34,Hérault,134,Lavérune,2223,809,36.39,1414,63.61,365,16.42,25.81,1049,47.19,74.19,2014,1
34,Hérault,169,Montferrier-sur-Lez,3214,986,30.68,2228,69.32,57,1.77,2.56,2171,67.55,97.44,2014,1
34,Hérault,172,Montpellier,145590,69686,47.86,75904,52.14,2502,1.72,3.3,73402,50.42,96.7,2014,1
34,Hérault,179,Murviel-lès-Montpellier,1404,25,1.78,1379,98.22,267,19.02,19.36,1112,79.2,80.64,2014,1
34,Hérault,198,Pérols,7398,2425,32.78,4973,67.22,131,1.77,2.63,4842,65.45,97.37,2014,1
34,Hérault,202,Pignan,5608,1728,30.81,3880,69.19,1524,27.18,39.28,2356,42.01,60.72,2014,1
34,Hérault,217,Prades-le-Lez,3842,1166,30.35,2676,69.65,149,3.88,5.57,2527,65.77,94.43,2014,1
34,Hérault,227,Restinclières,1281,340,26.54,941,73.46,31,2.42,3.29,910,71.04,96.71,2014,1
34,Hérault,244,Saint-Brès,2060,746,36.21,1314,63.79,269,13.06,20.47,1045,50.73,79.53,2014,1
34,Hérault,249,Saint-Drézéry,1781,694,38.97,1087,61.03,339,19.03,31.19,748,42.0,68.81,2014,1
