"Géographie";"Niveau Géo";"Âge";"Sexe";"Diplôme";"Indicateur du lieu d’étude";"Mesure du recensement ";"Fréquence";"Statut de l'observation";Période;Valeur
"Bresson";"Commune";"15 ans ou plus";"Homme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;23
"Bresson";"Commune";"15 ans ou plus";"Femme";"BEPC, brevet élémentaire, brevet des collèges, DNB";"Hors champ";"Population";"Annuel";"Normale";2011;9
"Domène";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;270,78213
"Grenoble";"Commune";"15 ans ou plus";"Homme";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;49174,7811
"Gières";"Commune";"15 ans ou plus";"Femme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;329,08174
"Noyarey";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;1678,08087
"Fontaine";"Commune";"15 ans ou plus";"Homme";"CAP, BEP ou diplôme de niveau équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;2029,03678
"Domène";"Commune";"15 ans ou plus";"Femme";"Baccalauréat, brevet professionnel ou équivalent";"Hors champ";"Population";"Annuel";"Normale";2011;403,16161
"Sarcenas";"Commune";"15 ans ou plus";"Total";"Total";"Hors champ";"Population";"Annuel";"Normale";2011;141,82234
"Montchaboud";"Commune";"15 ans ou plus";"Femme";"Aucun diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;9
"Jarrie";"Commune";"15 ans ou plus";"Homme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;285,51953
"Corenc";"Commune";"15 ans ou plus";"Femme";"Diplôme universitaire 2e ou 3e cycle";"Hors champ";"Population";"Annuel";"Normale";2011;604,76835
"Le Gua";"Commune";"15 ans ou plus";"Homme";"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Hors champ";"Population";"Annuel";"Normale";2011;105,35726
