Date référence;NumÃ©ro commune;Quotient familial;Nom commune;Nombre foyers NDUR;Nombre personnes NDUR;Montant total NDUR;Nombre foyers NDURPAJE;Nombre personnes NDURPAJE;Montant total NDURPAJE;Nombre foyers NDUREJ;Nombre personnes NDUREJ;Montant total NDUREJ;Nombre foyers NDURAL;Nombre personnes NDURAL;Montant total NDURAL;Nombre foyers NDURINS;Nombre personnes NDURINS;Montant total NDURINS
2020-12;38524;Entre 2000 et 3999 euros;VARCES ALLIERES ET RISSET;100;385;11700;15;55;3100;90;360;7800;0;0;0;0;0;0
2020-12;38529;Entre 400 et 799 euros;VAULNAVEYS LE HAUT;115;230;40100;10;45;3300;35;130;9500;55;115;7600;60;85;9600
2020-12;38529;Entre 1200 et 1599 euros;VAULNAVEYS LE HAUT;90;365;30200;35;135;16000;80;325;13800;0;0;0;5;5;300
2020-12;38545;Entre 800 et 1199 euros;VIF;260;870;102400;60;235;19500;180;725;47600;30;80;2800;95;220;18000
2020-12;38545;Entre 1600 et 1999 euros;VIF;150;580;33100;40;145;11300;125;510;20100;0;0;200;5;10;600
2020-12;38545;Inconnu;VIF;50;60;9500;0;0;0;5;10;400;0;0;0;45;45;8600
2020-12;38562;Entre 800 et 1199 euros;VIZILLE;315;935;118100;70;270;26600;170;700;44700;35;80;4800;145;295;26300
2020-12;38562;Inconnu;VIZILLE;65;90;13400;0;5;1000;5;15;500;0;0;200;60;70;11500
2020-12;38485;Entre 400 et 799 euros;SEYSSINET PARISET;730;1480;376000;65;255;21800;225;825;72000;480;1055;99000;390;775;97800
2020-12;38516;Entre 1600 et 1999 euros;LA TRONCHE;55;235;13600;10;40;2600;50;225;10000;0;0;0;0;5;500
2020-12;38524;Inconnu;VARCES ALLIERES ET RISSET;155;165;20400;0;0;0;0;10;100;0;0;0;150;155;19400
2020-12;38528;Entre 800 et 1199 euros;VAULNAVEYS LE BAS;30;105;10500;10;30;3400;25;90;5100;0;0;0;10;20;1800
2020-12;38528;Entre 2000 et 3999 euros;VAULNAVEYS LE BAS;30;110;3400;5;15;900;25;95;2400;0;0;0;0;0;0
2020-12;38529;Entre 2000 et 3999 euros;VAULNAVEYS LE HAUT;95;375;15500;25;90;8300;80;335;7200;0;0;0;0;0;0
2020-12;38533;Entre 1200 et 1599 euros;VENON;10;40;3300;0;10;700;10;40;2500;0;0;0;0;0;0
2020-12;38545;Entre 1200 et 1599 euros;VIF;235;920;71300;70;275;27500;195;815;37700;0;5;0;20;55;2100
2020-12;38545;4000 euros ou plus;VIF;5;20;400;0;5;200;5;20;300;0;0;0;0;0;0
2020-12;38485;Moins de 400 euros;SEYSSINET PARISET;420;565;160700;15;55;3800;45;150;12500;280;365;67900;235;310;75300
